PLAYER_ID,PLAYER_NAME,OPPONENT_ABBREV,PTS,REB,AST,STL,BLK,FG3M,TOV,PRA,PR,PA,RA,FANTASY_PTS,MIN,GAMES_PLAYED
201144,Mike Conley,BKN,9.0,3.0,7.0,0.0,0.0,2.0,2.0,19.0,12.0,16.0,10.0,21.1,24.0,1
201144,Mike Conley,CHA,10.0,3.0,6.0,1.0,0.0,2.0,1.0,19.0,13.0,16.0,9.0,24.6,29.0,1
201144,Mike Conley,DAL,5.0,2.0,3.0,3.0,0.0,1.0,1.0,10.0,7.0,8.0,5.0,19.9,16.0,1
201144,Mike Conley,DEN,7.5,2.0,3.0,0.5,0.5,1.0,0.0,12.5,9.5,10.5,5.0,17.4,25.5,2
201144,Mike Conley,IND,6.0,1.0,4.0,0.0,0.0,1.0,2.0,11.0,7.0,10.0,5.0,11.2,24.0,1
201144,Mike Conley,LAL,4.0,3.0,3.5,1.5,1.0,1.0,2.0,10.5,7.0,7.5,6.5,18.35,18.5,2
201144,Mike Conley,NYK,8.0,0.0,6.0,0.0,0.0,2.0,1.0,14.0,8.0,14.0,6.0,16.0,18.0,1
201144,Mike Conley,PHX,3.0,2.0,1.0,0.0,0.0,1.0,1.0,6.0,5.0,4.0,3.0,5.9,14.0,1
201144,Mike Conley,POR,3.0,2.0,0.0,1.0,0.0,1.0,1.0,5.0,5.0,3.0,2.0,7.4,13.0,1
201144,Mike Conley,SAC,5.0,2.0,3.67,0.67,0.0,1.67,0.0,10.67,7.0,8.67,5.67,14.9,20.33,3
201144,Mike Conley,UTA,5.0,1.5,2.0,0.0,0.0,1.0,1.0,8.5,6.5,7.0,3.5,8.8,17.5,2
201144,Mike Conley,WAS,10.0,1.0,6.0,1.0,0.0,1.0,0.0,17.0,11.0,16.0,7.0,23.2,27.0,1
201145,Jeff Green,BKN,3.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,3.0,0.0,3.0,4.0,1
201145,Jeff Green,BOS,6.0,0.0,0.0,0.0,1.0,2.0,0.0,6.0,6.0,6.0,0.0,9.0,8.0,1
201145,Jeff Green,MEM,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.2,2.0,1
201145,Jeff Green,PHX,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.2,3.0,1
201145,Jeff Green,POR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1
201145,Jeff Green,WAS,3.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,4.0,3.0,1.0,4.2,3.0,1
201566,Russell Westbrook,ATL,10.0,2.0,3.0,0.0,0.0,1.0,3.0,15.0,12.0,13.0,5.0,13.9,22.0,1
201566,Russell Westbrook,CHI,12.0,2.0,4.0,3.0,0.0,1.0,2.0,18.0,14.0,16.0,6.0,27.4,29.0,1
201566,Russell Westbrook,DEN,20.33,8.67,9.33,1.0,0.33,2.0,3.0,38.33,29.0,29.67,18.0,45.73,32.67,3
201566,Russell Westbrook,GSW,23.0,16.0,10.0,1.0,0.0,3.0,3.0,49.0,39.0,33.0,26.0,57.2,35.0,1
201566,Russell Westbrook,LAL,18.0,6.0,6.0,1.0,0.0,4.0,2.0,30.0,24.0,24.0,12.0,35.2,27.0,1
201566,Russell Westbrook,MEM,11.0,7.0,4.0,0.0,0.0,2.0,4.0,22.0,18.0,15.0,11.0,21.4,21.0,1
201566,Russell Westbrook,MIL,12.0,5.0,10.0,2.0,0.0,0.0,1.0,27.0,17.0,22.0,15.0,38.0,34.0,1
201566,Russell Westbrook,MIN,8.67,5.67,7.33,1.0,0.33,1.67,4.0,21.67,14.33,16.0,13.0,26.47,25.33,3
201566,Russell Westbrook,OKC,15.67,9.0,6.33,1.33,0.0,3.33,3.67,31.0,24.67,22.0,15.33,36.3,31.67,3
201566,Russell Westbrook,PHX,6.0,6.0,1.0,0.0,1.0,0.0,2.0,13.0,12.0,7.0,7.0,15.7,19.0,1
201566,Russell Westbrook,SAS,14.0,9.0,7.0,2.0,0.0,3.0,5.0,30.0,23.0,21.0,16.0,36.3,35.0,1
201566,Russell Westbrook,UTA,7.0,1.0,4.0,1.0,0.0,1.0,2.0,12.0,8.0,11.0,5.0,15.2,17.0,1
201567,Kevin Love,ATL,3.0,3.0,4.0,0.0,0.0,1.0,2.0,10.0,6.0,7.0,7.0,10.6,15.0,1
201567,Kevin Love,BOS,5.0,7.0,3.0,0.0,0.0,1.0,2.0,15.0,12.0,8.0,10.0,15.9,17.0,1
201567,Kevin Love,CHA,3.0,5.0,5.0,0.0,0.0,0.0,2.0,13.0,8.0,8.0,10.0,14.5,14.0,1
201567,Kevin Love,CHI,10.0,8.0,2.0,0.0,1.0,2.0,0.0,20.0,18.0,12.0,10.0,25.6,18.0,1
201567,Kevin Love,DET,3.0,3.0,3.0,0.0,0.0,0.0,0.0,9.0,6.0,6.0,6.0,11.1,14.0,1
201567,Kevin Love,LAL,2.0,6.5,1.0,0.5,0.5,0.0,1.0,9.5,8.5,3.0,7.5,13.3,13.5,2
201567,Kevin Love,MIN,5.0,2.0,0.5,0.0,0.5,1.0,0.5,7.5,7.0,5.5,2.5,9.15,10.0,2
201567,Kevin Love,OKC,12.0,1.0,0.0,0.0,1.0,4.0,1.0,13.0,13.0,12.0,1.0,15.2,13.0,1
201569,Eric Gordon,DET,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,6.0,1
201569,Eric Gordon,ORL,9.0,1.0,1.0,1.5,0.0,2.0,1.0,11.0,10.0,10.0,2.0,15.2,16.5,2
201569,Eric Gordon,WAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1
201572,Brook Lopez,ATL,9.0,0.0,2.0,0.0,1.0,2.0,3.0,11.0,9.0,11.0,2.0,12.0,17.0,1
201572,Brook Lopez,BOS,5.0,2.0,3.0,1.0,1.0,1.0,0.0,10.0,7.0,8.0,5.0,17.9,14.0,1
201572,Brook Lopez,CHA,11.0,1.0,1.0,0.0,1.0,3.0,0.0,13.0,12.0,12.0,2.0,16.7,15.0,1
201572,Brook Lopez,CLE,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.2,11.0,1
201572,Brook Lopez,DAL,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,3.6,10.0,1
201572,Brook Lopez,DEN,10.0,1.0,1.0,0.0,1.0,2.0,1.0,12.0,11.0,11.0,2.0,14.7,16.0,1
201572,Brook Lopez,GSW,3.0,2.0,1.0,0.0,0.0,0.0,0.0,6.0,5.0,4.0,3.0,6.9,19.0,1
201572,Brook Lopez,MIA,5.0,1.0,0.0,1.0,0.0,1.0,0.0,6.0,6.0,5.0,1.0,9.2,15.0,1
201572,Brook Lopez,NOP,3.0,3.0,0.0,1.0,1.0,0.0,1.0,6.0,6.0,3.0,3.0,11.6,14.0,1
201572,Brook Lopez,OKC,12.0,2.0,0.0,0.0,0.0,4.0,2.0,14.0,14.0,12.0,2.0,12.4,16.0,1
201572,Brook Lopez,ORL,3.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,3.0,3.0,0.0,9.0,6.0,1
201572,Brook Lopez,PHI,6.0,1.0,0.0,0.0,0.0,1.0,1.0,7.0,7.0,6.0,1.0,6.2,14.0,1
201572,Brook Lopez,PHX,6.67,3.33,0.33,0.33,1.33,0.67,1.0,10.33,10.0,7.0,3.67,15.17,16.33,3
201572,Brook Lopez,POR,5.0,3.0,0.0,0.0,3.0,1.0,0.0,8.0,8.0,5.0,3.0,17.6,13.0,1
201572,Brook Lopez,UTA,15.0,3.0,0.0,1.0,0.0,5.0,2.0,18.0,18.0,15.0,3.0,19.6,17.0,1
201587,Nicolas Batum,ATL,2.0,4.0,0.0,1.0,1.0,0.0,0.0,6.0,6.0,2.0,4.0,12.8,20.0,1
201587,Nicolas Batum,BOS,6.0,4.0,0.0,0.0,2.0,2.0,1.0,10.0,10.0,6.0,4.0,15.8,20.0,1
201587,Nicolas Batum,CHA,9.0,3.0,0.0,2.0,0.0,3.0,0.0,12.0,12.0,9.0,3.0,18.6,19.0,1
201587,Nicolas Batum,CLE,6.0,3.0,1.0,0.0,0.0,2.0,1.0,10.0,9.0,7.0,4.0,10.1,25.0,1
201587,Nicolas Batum,DAL,7.0,2.0,0.0,3.0,0.0,1.0,1.0,9.0,9.0,7.0,2.0,17.4,25.0,1
201587,Nicolas Batum,DEN,6.0,2.0,3.0,1.0,0.0,2.0,0.0,11.0,8.0,9.0,5.0,15.9,22.0,1
201587,Nicolas Batum,GSW,3.0,6.0,1.0,0.0,0.0,1.0,0.0,10.0,9.0,4.0,7.0,11.7,20.0,1
201587,Nicolas Batum,LAL,6.0,1.0,0.0,2.0,0.0,2.0,0.0,7.0,7.0,6.0,1.0,13.2,22.0,1
201587,Nicolas Batum,MIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1
201587,Nicolas Batum,NOP,3.0,5.0,0.0,0.0,0.0,1.0,2.0,8.0,8.0,3.0,5.0,7.0,16.0,1
201587,Nicolas Batum,OKC,3.0,1.0,3.0,0.0,0.0,1.0,1.0,7.0,4.0,6.0,4.0,7.7,18.0,1
201587,Nicolas Batum,ORL,3.0,2.0,0.0,1.0,0.0,1.0,1.0,5.0,5.0,3.0,2.0,7.4,9.0,1
201587,Nicolas Batum,PHI,11.0,6.0,1.0,1.0,0.0,3.0,1.0,18.0,17.0,12.0,7.0,21.7,21.0,1
201587,Nicolas Batum,PHX,4.0,2.0,0.33,0.67,0.67,1.33,0.67,6.33,6.0,4.33,2.33,10.23,17.0,3
201587,Nicolas Batum,POR,3.0,3.0,1.0,3.0,2.0,1.0,0.0,7.0,6.0,4.0,4.0,23.1,15.0,1
201587,Nicolas Batum,UTA,3.0,2.0,1.0,1.0,1.0,1.0,0.0,6.0,5.0,4.0,3.0,12.9,15.0,1
201599,DeAndre Jordan,BOS,7.0,5.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,7.0,5.0,13.0,11.0,1
201599,DeAndre Jordan,DEN,2.0,5.0,0.0,0.0,0.0,0.0,1.0,7.0,7.0,2.0,5.0,7.0,12.0,1
201935,James Harden,ATL,35.0,10.0,11.0,0.0,2.0,6.0,6.0,56.0,45.0,46.0,21.0,63.5,39.0,1
201935,James Harden,BOS,37.0,7.0,8.0,1.0,0.0,5.0,3.0,52.0,44.0,45.0,15.0,57.4,38.0,1
