Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
254.0,Luka Garza,27.0,BOS,C,15.0,0.0,14.8,2.5,4.5,0.567,0.7,1.5,0.435,1.9,2.9,0.636,0.642,1.4,1.9,0.75,2.5,1.7,4.2,0.8,0.3,0.4,0.5,3.1,7.1
255.0,Nae'Qwan Tomlin,25.0,CLE,PF,10.0,1.0,16.1,2.8,5.4,0.519,0.3,2.0,0.15,2.5,3.4,0.735,0.546,1.2,1.6,0.75,1.5,1.3,2.8,0.5,0.8,0.7,0.3,2.3,7.1
256.0,Chris Livingston,22.0,CLE,SF,1.0,0.0,14.0,3.0,5.0,0.6,0.0,2.0,0.0,3.0,3.0,1.0,0.6,1.0,1.0,1.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,2.0,7.0
257.0,Kobe Sanders,23.0,LAC,SG,10.0,3.0,20.0,2.2,5.5,0.4,1.1,3.2,0.344,1.1,2.3,0.478,0.5,1.5,1.6,0.938,0.5,1.0,1.5,1.2,0.6,0.2,1.4,2.5,7.0
258.0,Nick Smith Jr.,21.0,LAL,SG,6.0,0.0,15.0,2.7,6.2,0.432,1.3,3.0,0.444,1.3,3.2,0.421,0.541,0.3,0.5,0.667,0.0,1.0,1.0,2.2,0.5,0.2,1.7,0.7,7.0
259.0,Sion James,23.0,CHO,SG,17.0,11.0,26.5,2.3,5.2,0.438,1.3,3.1,0.423,1.0,2.2,0.459,0.562,1.0,1.2,0.81,0.4,2.8,3.2,1.6,0.8,0.3,1.0,1.6,6.9
260.0,Drake Powell,20.0,BRK,SG,11.0,0.0,18.9,2.5,5.0,0.509,0.7,1.9,0.381,1.8,3.1,0.588,0.582,1.1,1.2,0.923,0.4,1.6,2.0,2.0,0.9,0.1,1.2,2.0,6.9
261.0,Jeremy Sochan,22.0,SAS,PF,10.0,0.0,17.5,2.6,4.8,0.542,0.7,1.9,0.368,1.9,2.9,0.655,0.615,1.0,1.3,0.769,0.7,2.8,3.5,1.9,0.4,0.3,1.1,2.7,6.9
262.0,Precious Achiuwa,26.0,SAC,C,11.0,6.0,20.5,2.9,5.3,0.552,0.1,1.1,0.083,2.8,4.2,0.674,0.56,0.9,1.6,0.556,1.6,3.4,5.0,0.9,0.7,0.4,0.6,1.5,6.8
263.0,Justin Edwards,22.0,PHI,SF,15.0,5.0,17.5,2.5,5.6,0.44,1.3,3.5,0.365,1.2,2.1,0.563,0.554,0.6,0.6,1.0,0.8,1.3,2.1,1.5,0.6,0.3,1.0,2.0,6.8
264.0,Day'Ron Sharpe,24.0,BRK,C,16.0,0.0,16.1,2.5,3.9,0.635,0.2,0.8,0.231,2.3,3.1,0.74,0.659,1.5,2.4,0.615,2.2,3.3,5.5,1.8,0.9,0.4,1.9,2.4,6.7
265.0,Bruce Brown,29.0,DEN,SG,17.0,0.0,23.3,2.5,5.9,0.42,0.6,1.8,0.333,1.9,4.1,0.457,0.47,1.1,1.4,0.826,1.0,2.9,3.9,1.6,0.9,0.2,0.9,2.4,6.6
266.0,Sam Hauser,28.0,BOS,PF,17.0,2.0,21.4,2.2,6.7,0.333,2.0,5.9,0.34,0.2,0.8,0.286,0.482,0.2,0.2,0.75,0.7,2.6,3.4,1.4,0.5,0.2,0.6,1.1,6.6
267.0,Jay Huff,27.0,IND,C,17.0,2.0,16.1,2.3,6.0,0.382,1.2,4.1,0.3,1.1,1.9,0.563,0.485,0.8,1.1,0.684,1.0,2.1,3.1,1.0,0.2,2.0,0.8,2.4,6.6
