Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.
65.0,Kevin Durant,37.0,HOU,SF,14.0,14.0,505.0,0.485,15.3,0.724,0.084,0.159,0.326,0.155,0.276,0.532,0.8,0.553,0.474,0.486,0.364,0.446,0.667,0.054,13.0,0.045,0.0,0.0,0.0
66.0,Gary Trent Jr.,27.0,MIL,SG,18.0,12.0,504.0,0.406,20.7,0.316,0.071,0.071,0.09,0.084,0.684,0.449,0.545,0.455,0.429,0.385,0.387,0.591,0.902,0.0,0.0,0.274,0.552,0.0,0.0
67.0,Nic Claxton,26.0,BRK,C,17.0,17.0,504.0,0.56,4.9,0.962,0.484,0.396,0.063,0.019,0.038,0.582,0.701,0.508,0.0,1.0,0.0,0.573,,0.252,37.0,0.0,,0.0,0.0
68.0,CJ McCollum,34.0,WAS,SG,17.0,17.0,504.0,0.436,17.1,0.516,0.124,0.172,0.164,0.056,0.484,0.45,0.645,0.372,0.463,0.214,0.421,0.328,0.686,0.004,1.0,0.149,0.389,0.0,0.0
69.0,Naji Marshall,28.0,DAL,SF,19.0,1.0,502.0,0.473,13.3,0.615,0.216,0.264,0.095,0.041,0.385,0.582,0.813,0.462,0.571,0.167,0.298,0.547,0.941,0.027,4.0,0.509,0.276,0.0,0.0
70.0,Isaiah Hartenstein,27.0,OKC,C,18.0,18.0,500.0,0.676,4.8,0.971,0.504,0.345,0.122,0.0,0.029,0.696,0.843,0.583,0.412,,0.0,0.787,,0.338,44.0,0.5,0.0,0.0,0.0
71.0,Ajay Mitchell,23.0,OKC,SG,18.0,5.0,499.0,0.461,11.8,0.715,0.206,0.355,0.101,0.053,0.285,0.509,0.702,0.519,0.304,0.083,0.338,0.41,0.727,0.009,2.0,0.292,0.368,0.0,0.0
72.0,Andrew Wiggins,30.0,MIA,SF,15.0,15.0,496.0,0.481,13.4,0.644,0.245,0.207,0.115,0.077,0.356,0.545,0.706,0.419,0.5,0.438,0.365,0.479,0.926,0.034,6.0,0.284,0.381,0.0,0.0
73.0,Nikola Vučević,35.0,CHI,C,16.0,16.0,490.0,0.495,14.1,0.621,0.187,0.29,0.098,0.047,0.379,0.549,0.625,0.548,0.524,0.3,0.407,0.808,0.97,0.009,2.0,0.111,0.222,0.0,0.0
74.0,Harrison Barnes,33.0,SAS,PF,16.0,16.0,487.0,0.53,17.1,0.373,0.179,0.172,0.022,0.0,0.627,0.66,0.833,0.565,0.0,,0.452,0.485,0.947,0.03,4.0,0.429,0.472,0.0,0.0
75.0,Cason Wallace,22.0,OKC,SG,17.0,17.0,486.0,0.423,15.8,0.438,0.2,0.208,0.023,0.008,0.562,0.491,0.731,0.296,0.333,0.0,0.37,0.393,1.0,0.069,6.0,0.315,0.478,0.0,0.0
76.0,Jerami Grant,31.0,POR,PF,17.0,5.0,485.0,0.463,13.8,0.552,0.291,0.182,0.059,0.02,0.448,0.5,0.678,0.297,0.25,0.5,0.418,0.393,0.974,0.044,7.0,0.363,0.545,0.0,0.0
77.0,Herbert Jones,27.0,NOP,SF,16.0,16.0,484.0,0.39,15.7,0.511,0.22,0.163,0.057,0.071,0.489,0.417,0.548,0.348,0.125,0.4,0.362,0.5,1.0,0.028,3.0,0.333,0.348,0.0,0.0
78.0,Luka Dončić,26.0,LAL,PG,13.0,13.0,484.0,0.47,18.1,0.52,0.083,0.16,0.203,0.073,0.48,0.596,0.96,0.646,0.525,0.273,0.333,0.183,0.375,0.007,2.0,0.076,0.091,0.0,0.0
79.0,Jeremiah Fears,19.0,NOP,PG,18.0,16.0,482.0,0.457,11.3,0.741,0.323,0.237,0.129,0.052,0.259,0.488,0.613,0.455,0.367,0.167,0.367,0.357,0.682,0.022,5.0,0.1,0.333,0.0,0.0
80.0,Santi Aldama,25.0,MEM,PF,18.0,2.0,479.0,0.467,14.0,0.586,0.229,0.233,0.086,0.038,0.414,0.577,0.688,0.551,0.5,0.25,0.31,0.817,1.0,0.019,4.0,0.241,0.571,0.0,0.0
81.0,Jalen Brunson,29.0,NYK,PG,14.0,14.0,478.0,0.479,15.0,0.627,0.164,0.199,0.171,0.092,0.373,0.546,0.708,0.397,0.56,0.556,0.367,0.29,0.575,0.0,0.0,0.147,0.563,0.0,0.0
82.0,Jarace Walker,22.0,IND,PF,17.0,9.0,477.0,0.335,15.9,0.514,0.15,0.225,0.121,0.017,0.486,0.348,0.423,0.256,0.476,0.0,0.321,0.484,0.889,0.006,0.0,0.131,0.455,0.0,0.0
83.0,Cedric Coward,22.0,MEM,SG,18.0,5.0,476.0,0.464,14.9,0.52,0.218,0.184,0.106,0.011,0.48,0.538,0.692,0.424,0.421,0.5,0.384,0.62,0.909,0.056,9.0,0.267,0.261,0.0,0.0
84.0,Kyshawn George,22.0,WAS,SF,15.0,15.0,474.0,0.484,15.9,0.543,0.19,0.168,0.13,0.054,0.457,0.52,0.714,0.452,0.417,0.3,0.44,0.231,0.865,0.022,4.0,0.179,0.6,0.0,0.0
85.0,John Collins,28.0,LAC,PF,18.0,9.0,469.0,0.497,11.2,0.702,0.273,0.317,0.068,0.043,0.298,0.558,0.75,0.529,0.182,0.143,0.354,0.762,1.0,0.124,16.0,0.646,0.452,0.0,0.0
86.0,Kris Dunn,31.0,LAC,PG,18.0,12.0,466.0,0.5,13.1,0.62,0.231,0.241,0.139,0.009,0.38,0.567,0.76,0.538,0.333,0.0,0.39,0.579,1.0,0.028,2.0,0.415,0.412,0.0,0.0
87.0,Matas Buzelis,21.0,CHI,PF,17.0,17.0,465.0,0.464,12.3,0.585,0.366,0.18,0.027,0.011,0.415,0.533,0.582,0.485,0.0,1.0,0.368,0.544,0.964,0.082,14.0,0.368,0.321,0.0,0.0
88.0,Jaylen Wells,22.0,MEM,SG,18.0,18.0,464.0,0.389,17.3,0.469,0.143,0.143,0.091,0.091,0.531,0.488,0.6,0.44,0.438,0.438,0.301,0.6,0.929,0.023,3.0,0.323,0.233,0.0,0.0
89.0,Stephen Curry,37.0,GSW,PG,15.0,15.0,464.0,0.478,19.3,0.384,0.131,0.138,0.071,0.044,0.616,0.605,0.692,0.659,0.429,0.462,0.399,0.478,0.685,0.003,0.0,0.093,0.529,0.0,0.0
90.0,Jaren Jackson Jr.,26.0,MEM,C,16.0,16.0,463.0,0.468,13.4,0.651,0.156,0.33,0.151,0.014,0.349,0.535,0.559,0.542,0.545,0.0,0.342,0.579,1.0,0.018,4.0,0.224,0.412,0.0,0.0
91.0,Jabari Smith Jr.,22.0,HOU,PF,14.0,14.0,463.0,0.448,15.8,0.523,0.186,0.151,0.116,0.07,0.477,0.5,0.656,0.538,0.4,0.167,0.39,0.6,0.906,0.047,8.0,0.488,0.4,0.0,0.0
92.0,Noah Clowney,21.0,BRK,PF,17.0,11.0,462.0,0.399,19.6,0.288,0.098,0.17,0.013,0.007,0.712,0.568,0.733,0.5,0.5,0.0,0.33,0.64,1.0,0.059,6.0,0.257,0.464,0.0,0.0
93.0,Collin Gillespie,26.0,PHO,PG,18.0,0.0,459.0,0.424,20.7,0.341,0.047,0.118,0.129,0.047,0.659,0.448,0.5,0.45,0.409,0.5,0.411,0.308,0.783,0.0,0.0,0.143,0.813,0.0,0.0
94.0,Draymond Green,35.0,GSW,PF,16.0,16.0,459.0,0.388,16.8,0.421,0.223,0.124,0.05,0.025,0.579,0.431,0.481,0.467,0.167,0.333,0.357,0.909,1.0,0.008,1.0,0.329,0.478,0.0,0.0
95.0,Jake LaRavia,24.0,LAL,PF,17.0,6.0,458.0,0.488,13.1,0.591,0.283,0.244,0.047,0.016,0.409,0.587,0.75,0.387,0.667,0.5,0.346,0.705,1.0,0.079,9.0,0.308,0.375,1.0,0.0
96.0,Donovan Clingan,21.0,POR,C,18.0,18.0,457.0,0.5,11.2,0.618,0.444,0.16,0.014,0.0,0.382,0.652,0.672,0.609,0.5,,0.255,0.586,1.0,0.16,20.0,0.164,0.111,0.0,0.0
97.0,Saddiq Bey,26.0,NOP,SF,17.0,9.0,457.0,0.422,15.6,0.48,0.202,0.173,0.081,0.023,0.52,0.494,0.6,0.433,0.5,0.0,0.356,0.439,0.938,0.023,4.0,0.333,0.167,0.0,0.0
98.0,Tristan Da Silva,24.0,ORL,SF,19.0,7.0,453.0,0.476,15.7,0.471,0.182,0.218,0.059,0.012,0.529,0.55,0.71,0.486,0.3,0.5,0.411,0.568,0.973,0.071,9.0,0.344,0.484,0.0,0.0
99.0,Sion James,23.0,CHO,SG,17.0,11.0,451.0,0.438,15.5,0.416,0.315,0.079,0.022,0.0,0.584,0.459,0.5,0.286,0.5,,0.423,0.588,1.0,0.09,6.0,0.481,0.32,0.0,0.0
100.0,Terance Mann,29.0,BRK,SG,17.0,17.0,451.0,0.45,13.3,0.6,0.267,0.2,0.1,0.033,0.4,0.5,0.625,0.375,0.5,0.25,0.375,0.389,0.778,0.058,4.0,0.292,0.286,0.0,0.0
101.0,Kel'el Ware,21.0,MIA,C,18.0,14.0,449.0,0.524,9.1,0.717,0.464,0.217,0.03,0.006,0.283,0.571,0.688,0.333,0.4,1.0,0.404,0.75,1.0,0.217,33.0,0.404,0.474,0.0,0.0
102.0,Svi Mykhailiuk,28.0,UTA,SF,17.0,17.0,448.0,0.472,19.5,0.291,0.094,0.157,0.016,0.024,0.709,0.73,0.667,0.75,1.0,0.667,0.367,0.667,0.939,0.016,1.0,0.411,0.378,0.0,0.0
