Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
340.0,Jared McCain,21.0,PHI,SG,8.0,0.0,113.0,4.7,0.432,0.458,0.083,1.0,6.9,3.9,11.1,0.8,0.0,7.4,19.9,-0.1,0.0,-0.1,-0.048,-6.1,-2.9,-9.0,-0.2
341.0,Brooks Barnhizer,23.0,OKC,SG,15.0,0.0,112.0,9.3,0.56,0.118,0.235,6.2,23.5,15.3,5.5,0.9,1.8,9.6,8.0,0.1,0.3,0.3,0.147,-2.9,1.7,-1.2,0.0
342.0,Bronny James,21.0,LAL,SG,11.0,1.0,112.0,6.0,0.364,0.429,0.071,4.5,5.1,4.8,21.0,3.4,0.9,21.7,14.1,-0.2,0.1,0.0,-0.014,-5.4,0.6,-4.8,-0.1
343.0,T.J. McConnell,33.0,IND,PG,7.0,0.0,112.0,19.8,0.555,0.203,0.017,0.9,12.9,6.5,44.7,3.0,0.0,7.8,23.4,0.2,0.1,0.3,0.119,1.7,0.1,1.8,0.1
344.0,Olivier-Maxence Prosper,23.0,MEM,PF,11.0,0.0,111.0,14.4,0.602,0.29,0.71,8.4,16.5,12.4,7.8,0.9,0.9,10.9,17.0,0.2,0.1,0.3,0.121,-1.4,-1.5,-2.9,0.0
345.0,Branden Carlson,26.0,OKC,C,13.0,0.0,109.0,15.9,0.567,0.488,0.122,6.4,16.4,11.7,10.3,0.9,7.4,6.5,18.3,0.1,0.3,0.4,0.173,-1.3,1.2,0.0,0.1
346.0,Duop Reath,29.0,POR,C,14.0,0.0,108.0,13.8,0.781,0.844,0.0,1.9,8.5,5.0,5.3,0.9,0.8,5.9,12.4,0.3,0.0,0.3,0.138,2.7,-0.8,1.8,0.1
347.0,Kobe Brown,26.0,LAC,PF,11.0,0.0,108.0,10.1,0.594,0.577,0.154,6.6,12.7,9.7,14.5,0.0,0.0,17.8,13.8,0.1,0.0,0.1,0.032,-0.5,-2.6,-3.0,0.0
348.0,Zach Edey,23.0,MEM,C,5.0,5.0,107.0,21.2,0.71,0.071,0.643,15.5,22.2,18.8,7.1,2.2,7.1,18.2,17.0,0.3,0.2,0.4,0.2,0.1,2.9,3.0,0.1
349.0,KJ Simpson,23.0,CHO,PG,8.0,0.0,105.0,8.0,0.436,0.372,0.093,3.3,14.1,8.7,27.2,2.3,0.0,19.7,22.1,-0.2,0.1,-0.1,-0.057,-4.6,-0.9,-5.5,-0.1
350.0,Gui Santos,23.0,GSW,PF,14.0,1.0,104.0,7.8,0.534,0.719,0.188,11.5,11.9,11.7,5.5,1.8,0.9,20.6,17.7,-0.1,0.1,0.0,0.013,-4.9,-1.3,-6.2,-0.1
351.0,Quenton Jackson,27.0,IND,PG,5.0,3.0,101.0,21.0,0.657,0.324,0.486,4.8,13.2,8.8,30.3,2.3,0.9,11.8,20.5,0.3,0.1,0.4,0.176,3.0,1.9,4.9,0.2
352.0,Nigel Hayes-Davis,31.0,PHO,SF,13.0,0.0,100.0,5.2,0.402,0.375,0.083,7.9,10.2,9.0,6.4,2.4,0.0,16.7,12.4,-0.1,0.1,0.0,-0.003,-6.0,-0.5,-6.5,-0.1
353.0,Tyler Kolek,24.0,NYK,PG,12.0,0.0,100.0,8.8,0.49,0.516,0.194,2.1,8.1,4.9,24.8,1.4,0.0,15.1,16.4,0.0,0.1,0.1,0.044,-3.3,-0.5,-3.8,0.0
