Player,Team,Opponent,Prop,Line,Proj,Prob,Pick,Tier,Diff%
Luke Kennard,ATL,CLE,PTS,6.5,8.22,85.1%,Over,S Tier,26.5
Jake LaRavia,LAL,DAL,PTS,6.5,8.59,84.9%,Over,S Tier,32.2
AJ Green,MIL,NYK,PTS,10.5,13.33,84.7%,Over,S Tier,27.0
Kyle Filipowski,UTA,SAC,PTS,9.5,12.66,84.7%,Over,S Tier,33.3
Jalen Suggs,ORL,DET,PTS,14.5,16.39,84.5%,Over,S Tier,13.0
Tim Hardaway Jr.,DEN,SAS,PTS,11.5,14.12,84.3%,Over,S Tier,22.8
Jusuf Nurkic,UTA,SAC,PTS,9.5,12.0,84.1%,Over,S Tier,26.3
Brice Sensabaugh,UTA,SAC,PTS,9.5,12.4,84.1%,Over,S Tier,30.5
Josh Hart,NYK,MIL,PTS,12.5,14.78,83.8%,Over,S Tier,18.2
John Collins,LAC,MEM,PTS,13.5,15.81,83.6%,Over,S Tier,17.1
Royce O'Neale,PHX,OKC,PTS,9.5,12.12,83.5%,Over,S Tier,27.6
Khris Middleton,WAS,IND,PTS,9.5,12.46,83.4%,Over,S Tier,31.2
Peyton Watson,DEN,SAS,PTS,13.5,15.66,83.4%,Over,S Tier,16.0
Precious Achiuwa,SAC,UTA,PTS,7.5,9.64,83.4%,Over,S Tier,28.5
Mark Williams,PHX,OKC,PTS,11.5,13.64,82.9%,Over,S Tier,18.6
Ryan Kalkbrenner,CHA,CHI,PRA,15.5,17.87,82.8%,Over,S Tier,15.3
Dyson Daniels,ATL,CLE,PTS,10.5,13.15,82.4%,Over,S Tier,25.2
Darius Garland,CLE,ATL,PTS,15.5,17.28,81.9%,Over,S Tier,11.5
Zaccharie Risacher,ATL,CLE,PTS,11.5,14.57,81.8%,Over,S Tier,26.7
Wendell Carter Jr.,ORL,DET,PTS,11.5,14.26,81.8%,Over,S Tier,24.0
Jaylen Wells,MEM,LAC,PTS,12.5,14.56,81.8%,Over,S Tier,16.5
Cedric Coward,MEM,LAC,PTS,12.5,14.56,81.8%,Over,S Tier,16.5
Paul George,PHI,BKN,PTS,14.5,16.19,81.7%,Over,S Tier,11.7
Kevin Huerter,CHI,CHA,PTS,9.5,12.4,81.5%,Over,S Tier,30.5
Noah Clowney,BKN,PHI,PRA,21.5,24.01,81.4%,Over,S Tier,11.7
Luke Kornet,SAS,DEN,PTS,7.5,9.43,81.4%,Over,S Tier,25.7
Egor Demin,BKN,PHI,PRA,17.5,20.54,81.1%,Over,S Tier,17.4
Dennis Schroder,SAC,UTA,PTS,10.5,13.56,81.1%,Over,S Tier,29.1
Rui Hachimura,LAL,DAL,PTS,10.5,13.46,81.0%,Over,S Tier,28.2
Daniel Gafford,DAL,LAL,PTS,9.5,12.45,80.9%,Over,S Tier,31.1
Dennis Schroder,SAC,UTA,PRA,18.5,22.13,80.8%,Over,S Tier,19.6
Onyeka Okongwu,ATL,CLE,PTS,13.5,15.59,80.5%,Over,S Tier,15.5
Jordan Clarkson,NYK,MIL,PTS,11.5,14.51,80.1%,Over,S Tier,26.2
Day'Ron Sharpe,BKN,PHI,PRA,13.5,16.27,79.9%,Over,S Tier,20.5
Isaiah Collier,UTA,SAC,PRA,16.5,19.7,79.9%,Over,S Tier,19.4
Malik Monk,SAC,UTA,PTS,13.5,16.1,79.9%,Over,S Tier,19.3
Kris Dunn,LAC,MEM,PRA,14.5,17.28,79.9%,Over,S Tier,19.2
Ausar Thompson,DET,ORL,PTS,11.5,13.98,79.7%,Over,S Tier,21.6
Bruce Brown,DEN,SAS,PRA,14.5,16.99,79.6%,Over,S Tier,17.2
Drew Eubanks,SAC,UTA,PRA,12.5,14.76,79.5%,Over,S Tier,18.1
Deuce McBride,NYK,MIL,PTS,10.5,13.15,79.2%,Over,S Tier,25.2
VJ Edgecombe,PHI,BKN,PTS,13.5,15.54,79.0%,Over,S Tier,15.1
Bogdan Bogdanovic,LAC,MEM,PTS,8.5,11.25,79.0%,Over,S Tier,32.4
Lonzo Ball,CLE,ATL,PRA,14.5,17.12,78.9%,Over,S Tier,18.1
Collin Sexton,CHA,CHI,PTS,14.5,16.41,78.7%,Over,S Tier,13.2
Ace Bailey,UTA,SAC,PTS,12.5,14.95,78.6%,Over,S Tier,19.6
Harrison Barnes,SAS,DEN,PTS,13.5,15.64,78.5%,Over,S Tier,15.9
Duncan Robinson,DET,ORL,PTS,10.5,13.18,78.3%,Over,S Tier,25.5
Justin Edwards,PHI,BKN,PRA,15.5,17.97,78.3%,Over,S Tier,15.9
Zach Edey,MEM,LAC,PTS,11.5,13.6,78.2%,Over,S Tier,18.3
Anthony Black,ORL,DET,PRA,18.5,20.64,78.1%,Over,S Tier,11.6
Tristan da Silva,ORL,DET,PRA,17.5,19.62,77.9%,Over,S Tier,12.1
Kevin Love,UTA,SAC,PRA,12.5,15.92,77.7%,Over,S Tier,27.4
Jake LaRavia,LAL,DAL,PRA,10.5,12.14,77.7%,Over,S Tier,15.6
Isaiah Jackson,IND,WAS,PRA,15.5,19.05,77.6%,Over,S Tier,22.9
Drake Powell,BKN,PHI,PRA,11.5,14.07,77.5%,Over,S Tier,22.3
Santi Aldama,MEM,LAC,PTS,12.5,14.99,77.5%,Over,S Tier,19.9
Isaiah Stewart,DET,ORL,PRA,13.5,15.52,77.4%,Over,S Tier,15.0
Jonas Valanciunas,DEN,SAS,PRA,13.5,15.76,77.4%,Over,S Tier,16.7
Svi Mykhailiuk,UTA,SAC,PRA,12.5,15.24,77.4%,Over,S Tier,21.9
Brice Sensabaugh,UTA,SAC,PRA,14.5,17.23,77.3%,Over,S Tier,18.8
Jordan Clarkson,NYK,MIL,PRA,14.5,17.01,76.9%,Over,S Tier,17.3
Tyrese Martin,BKN,PHI,PRA,15.5,18.63,76.9%,Over,S Tier,20.2
Nicolas Batum,LAC,MEM,PRA,10.5,12.59,76.9%,Over,S Tier,19.9
Tobias Harris,DET,ORL,PTS,11.5,13.88,76.8%,Over,S Tier,20.7
Julian Champagnie,SAS,DEN,PTS,11.5,14.77,76.0%,Over,S Tier,28.4
Max Christie,DAL,LAL,PRA,16.5,19.23,76.0%,Over,S Tier,16.5
Justin Edwards,PHI,BKN,PTS,10.5,13.39,75.9%,Over,S Tier,27.5
Kyle Filipowski,UTA,SAC,PRA,17.5,20.62,75.4%,Over,S Tier,17.8
Tobias Harris,DET,ORL,PRA,18.5,20.78,74.6%,Over,S Tier,12.3
Kevin Huerter,CHI,CHA,PRA,15.5,17.59,74.6%,Over,S Tier,13.5
Tristan da Silva,ORL,DET,PTS,11.5,14.21,74.5%,Over,S Tier,23.6
Jock Landale,MEM,LAC,PRA,13.5,15.71,74.4%,Over,S Tier,16.4
Jaylon Tyson,CLE,ATL,PTS,8.5,11.28,74.3%,Over,S Tier,32.7
Keldon Johnson,SAS,DEN,PTS,13.5,16.06,74.3%,Over,S Tier,19.0
Brandon Williams,DAL,LAL,PRA,17.5,20.32,73.9%,Over,S Tier,16.1
Rui Hachimura,LAL,DAL,PRA,16.5,18.72,73.5%,Over,S Tier,13.5
John Collins,LAC,MEM,PRA,19.5,21.88,73.4%,Over,S Tier,12.2
Duncan Robinson,DET,ORL,PRA,14.5,16.14,73.3%,Over,S Tier,11.3
Bogdan Bogdanovic,LAC,MEM,PRA,14.5,16.61,73.2%,Over,S Tier,14.6
Isaac Okoro,CHI,CHA,PRA,10.5,12.66,73.0%,Over,S Tier,20.6
Ace Bailey,UTA,SAC,PRA,19.5,21.14,73.0%,Over,S Tier,8.4
Lu Dort,OKC,PHX,PTS,8.5,11.03,72.3%,Over,S Tier,29.8
Jaden Ivey,DET,ORL,PRA,14.5,16.13,72.1%,Over,S Tier,11.2
Jay Huff,IND,WAS,PRA,16.5,18.68,72.0%,Over,S Tier,13.2
Grayson Allen,PHX,OKC,PTS,13.5,15.03,71.8%,Over,S Tier,11.3
Daniel Gafford,DAL,LAL,PRA,18.5,20.82,71.7%,Over,S Tier,12.5
Collin Sexton,CHA,CHI,PRA,20.5,22.84,71.4%,Over,S Tier,11.4
Tim Hardaway Jr.,DEN,SAS,PRA,14.5,17.35,71.3%,Over,S Tier,19.7
De'Andre Hunter,CLE,ATL,PTS,16.5,18.11,71.2%,Over,S Tier,9.8
Matas Buzelis,CHI,CHA,PRA,20.5,22.59,71.2%,Over,S Tier,10.2
Ben Sheppard,IND,WAS,PRA,13.5,16.54,70.9%,Over,S Tier,22.5
Isaiah Hartenstein,OKC,PHX,PTS,10.5,13.1,70.8%,Over,S Tier,24.8
Peyton Watson,DEN,SAS,PRA,22.5,24.01,70.3%,Over,S Tier,6.7
Kyle Kuzma,MIL,NYK,PTS,13.5,15.45,70.1%,Over,S Tier,14.4
Harrison Barnes,SAS,DEN,PRA,19.5,21.76,69.8%,Over,S Tier,11.6
Cason Wallace,OKC,PHX,PTS,8.5,10.89,68.7%,Over,S Tier,28.1
Naji Marshall,DAL,LAL,PRA,16.5,19.12,68.6%,Over,S Tier,15.9
Ayo Dosunmu,CHI,CHA,PRA,20.5,23.11,68.4%,Over,S Tier,12.7
Jaylon Tyson,CLE,ATL,PRA,14.5,16.78,68.1%,Over,S Tier,15.7
Gary Trent Jr.,MIL,NYK,PTS,8.5,11.08,67.7%,Over,S Tier,30.4
Dylan Harper,SAS,DEN,PRA,17.5,20.09,67.6%,Over,S Tier,14.8
T.J. McConnell,IND,WAS,PRA,21.5,23.32,67.5%,Over,S Tier,8.5
Devin Vassell,SAS,DEN,PRA,22.5,24.17,67.4%,Over,S Tier,7.4
Julian Champagnie,SAS,DEN,PRA,17.5,20.13,64.7%,Over,S Tier,15.0
Nic Claxton,BKN,PHI,PTS,13.5,15.47,64.6%,Over,S Tier,14.6
Luke Kornet,SAS,DEN,PRA,16.5,18.62,64.6%,Over,S Tier,12.8
Lu Dort,OKC,PHX,PRA,12.5,14.03,63.0%,Over,S Tier,12.2
Keldon Johnson,SAS,DEN,PRA,22.5,24.06,62.1%,Over,S Tier,6.9
Jarrett Allen,CLE,ATL,PTS,14.5,16.03,61.8%,Over,S Tier,10.6
CJ McCollum,WAS,IND,PTS,17.5,18.66,89.6%,Over,A Tier,6.6
Spencer Jones,DEN,SAS,PTS,3.5,4.77,89.0%,Over,A Tier,36.3
Kentavious Caldwell-Pope,MEM,LAC,PTS,5.5,6.97,88.9%,Over,A Tier,26.7
Cooper Flagg,DAL,LAL,PTS,15.5,16.71,87.9%,Over,A Tier,7.8
Mikal Bridges,NYK,MIL,PTS,16.5,17.72,83.9%,Over,A Tier,7.4
Zach LaVine,SAC,UTA,PTS,19.5,20.87,82.5%,Over,A Tier,7.0
Mitchell Robinson,NYK,MIL,PTS,3.5,4.55,81.3%,Over,A Tier,30.0
Jalen Johnson,ATL,CLE,PTS,20.5,21.79,81.1%,Over,A Tier,6.3
LeBron James,LAL,DAL,PTS,20.5,21.63,81.1%,Over,A Tier,5.5
Ivica Zubac,LAC,MEM,PTS,17.5,18.65,78.8%,Over,A Tier,6.6
Goga Bitadze,ORL,DET,PRA,11.5,12.95,78.5%,Over,A Tier,12.6
Day'Ron Sharpe,BKN,PHI,PTS,5.5,6.89,76.2%,Over,A Tier,25.3
Cam Johnson,DEN,SAS,PTS,14.5,15.98,76.1%,Over,A Tier,10.2
Wendell Carter Jr.,ORL,DET,PRA,21.5,22.5,75.8%,Over,A Tier,4.7
Kyshawn George,WAS,IND,PTS,16.5,17.88,75.5%,Over,A Tier,8.4
Myles Turner,MIL,NYK,PTS,14.5,15.98,75.5%,Over,A Tier,10.2
Alex Sarr,WAS,IND,PTS,18.5,19.78,75.1%,Over,A Tier,6.9
Vit Krejci,ATL,CLE,PRA,11.5,12.73,74.1%,Over,A Tier,10.7
Terance Mann,BKN,PHI,PRA,15.5,16.93,71.5%,Over,A Tier,9.2
Luke Kennard,ATL,CLE,PRA,10.5,11.53,70.7%,Over,A Tier,9.8
Alex Caruso,OKC,PHX,PTS,5.5,6.62,70.6%,Over,A Tier,20.4
Cason Wallace,OKC,PHX,PRA,13.5,14.99,70.5%,Over,A Tier,11.0
Ausar Thompson,DET,ORL,PRA,19.5,20.95,69.6%,Over,A Tier,7.4
Alex Caruso,OKC,PHX,PRA,10.5,11.54,69.6%,Over,A Tier,9.9
Khris Middleton,WAS,IND,PRA,16.5,17.52,69.2%,Over,A Tier,6.2
Precious Achiuwa,SAC,UTA,PRA,14.5,15.78,68.5%,Over,A Tier,8.8
Kentavious Caldwell-Pope,MEM,LAC,PRA,10.5,11.59,66.2%,Over,A Tier,10.4
Gary Trent Jr.,MIL,NYK,PRA,11.5,12.61,65.2%,Over,A Tier,9.7
Cam Spencer,MEM,LAC,PRA,16.5,17.75,59.3%,Over,A Tier,7.6
Coby White,CHI,CHA,PTS,23.5,24.06,88.9%,Over,B Tier,2.4
LaMelo Ball,CHA,CHI,PTS,18.5,19.33,87.3%,Over,B Tier,4.5
DeMar DeRozan,SAC,UTA,PTS,18.5,19.45,87.2%,Over,B Tier,5.1
Brandon Miller,CHA,CHI,PTS,19.5,20.35,86.8%,Over,B Tier,4.4
Kon Knueppel,CHA,CHI,PTS,18.5,19.28,86.5%,Over,B Tier,4.2
Desmond Bane,ORL,DET,PTS,19.5,20.43,86.1%,Over,B Tier,4.8
Josh Giddey,CHI,CHA,PTS,19.5,20.5,85.4%,Over,B Tier,5.1
Jamal Murray,DEN,SAS,PTS,24.5,24.88,85.3%,Over,B Tier,1.6
De'Aaron Fox,SAS,DEN,PTS,24.5,25.14,85.2%,Over,B Tier,2.6
Lauri Markkanen,UTA,SAC,PTS,26.5,26.53,85.0%,Over,B Tier,0.1
Ryan Rollins,MIL,NYK,PTS,18.5,19.24,83.5%,Over,B Tier,4.0
PJ Washington,DAL,LAL,PTS,15.5,16.42,83.2%,Over,B Tier,5.9
Bennedict Mathurin,IND,WAS,PTS,22.5,23.1,82.8%,Over,B Tier,2.7
Anthony Davis,DAL,LAL,PTS,19.5,20.44,82.5%,Over,B Tier,4.8
Nickeil Alexander-Walker,ATL,CLE,PTS,17.5,18.35,82.3%,Over,B Tier,4.9
Nikola Vucevic,CHI,CHA,PTS,18.5,19.37,81.9%,Over,B Tier,4.7
Tyrese Maxey,PHI,BKN,PTS,31.5,31.61,81.8%,Over,B Tier,0.3
Malik Monk,SAC,UTA,PRA,20.5,21.07,81.1%,Over,B Tier,2.8
Miles Bridges,CHA,CHI,PTS,18.5,19.19,80.9%,Over,B Tier,3.7
Kawhi Leonard,LAC,MEM,PTS,19.5,20.1,80.8%,Over,B Tier,3.1
Evan Mobley,CLE,ATL,PTS,18.5,19.37,80.3%,Over,B Tier,4.7
Jalen Duren,DET,ORL,PTS,18.5,18.91,79.6%,Over,B Tier,2.2
Onyeka Okongwu,ATL,CLE,PRA,21.5,22.18,77.9%,Over,B Tier,3.2
Nic Claxton,BKN,PHI,PRA,25.5,25.54,77.9%,Over,B Tier,0.2
Michael Porter Jr.,BKN,PHI,PTS,23.5,23.68,77.9%,Over,B Tier,0.8
Paul George,PHI,BKN,PRA,23.5,23.95,77.9%,Over,B Tier,1.9
Austin Reaves,LAL,DAL,PTS,22.5,22.96,77.9%,Over,B Tier,2.0
Santi Aldama,MEM,LAC,AST,2.5,2.18,77.5%,Under,B Tier,-12.8
Zaccharie Risacher,ATL,CLE,PRA,14.5,15.38,76.9%,Over,B Tier,6.1
VJ Edgecombe,PHI,BKN,PRA,23.5,23.73,76.8%,Over,B Tier,1.0
Drake Powell,BKN,PHI,FG3M,0.5,0.66,76.7%,Over,B Tier,32.0
Jaren Jackson Jr.,MEM,LAC,PTS,21.5,22.22,76.6%,Over,B Tier,3.3
Tim Hardaway Jr.,DEN,SAS,FG3M,2.5,2.54,76.0%,Over,B Tier,1.6
Zach Edey,MEM,LAC,AST,1.5,1.42,75.8%,Under,B Tier,-5.3
Jaren Jackson Jr.,MEM,LAC,AST,1.5,1.42,75.8%,Under,B Tier,-5.3
Kristaps Porzingis,ATL,CLE,PTS,18.5,19.07,75.4%,Over,B Tier,3.1
Dylan Harper,SAS,DEN,FG3M,0.5,0.66,75.4%,Over,B Tier,32.0
AJ Green,MIL,NYK,FG3M,2.5,2.54,75.1%,Over,B Tier,1.6
Franz Wagner,ORL,DET,PTS,23.5,23.52,74.7%,Over,B Tier,0.1
Dillon Brooks,PHX,OKC,PTS,17.5,17.97,74.5%,Over,B Tier,2.7
Bruce Brown,DEN,SAS,FG3M,0.5,0.66,74.4%,Over,B Tier,32.0
Bilal Coulibaly,WAS,IND,PRA,17.5,18.4,74.2%,Over,B Tier,5.1
Jay Huff,IND,WAS,AST,1.5,1.42,73.5%,Under,B Tier,-5.3
Darius Garland,CLE,ATL,PRA,24.5,24.95,73.4%,Over,B Tier,1.8
Dyson Daniels,ATL,CLE,PRA,22.5,22.71,73.2%,Over,B Tier,0.9
Naji Marshall,DAL,LAL,FG3M,0.5,0.66,72.8%,Over,B Tier,32.0
Mark Williams,PHX,OKC,PRA,21.5,22.12,72.6%,Over,B Tier,2.9
De'Aaron Fox,SAS,DEN,REB,3.5,3.31,72.5%,Under,B Tier,-5.4
Kris Dunn,LAC,MEM,FG3M,0.5,0.66,72.5%,Over,B Tier,32.0
Ajay Mitchell,OKC,PHX,FG3M,0.5,0.66,72.2%,Over,B Tier,32.0
Spencer Jones,DEN,SAS,FG3M,0.5,0.66,72.1%,Over,B Tier,32.0
Joel Embiid,PHI,BKN,PTS,18.5,19.25,71.7%,Over,B Tier,4.1
Nickeil Alexander-Walker,ATL,CLE,PRA,24.5,24.82,71.4%,Over,B Tier,1.3
Jaylen Wells,MEM,LAC,FG3M,2.5,2.54,71.3%,Over,B Tier,1.6
Kevin Love,UTA,SAC,AST,1.5,1.46,71.0%,Under,B Tier,-2.7
Duncan Robinson,DET,ORL,AST,1.5,1.46,70.8%,Under,B Tier,-2.7
Keegan Murray,SAC,UTA,AST,1.5,1.42,70.8%,Under,B Tier,-5.3
Isaac Okoro,CHI,CHA,FG3M,0.5,0.66,70.3%,Over,B Tier,32.0
Karl-Anthony Towns,NYK,MIL,PTS,24.5,24.6,69.7%,Over,B Tier,0.4
Pascal Siakam,IND,WAS,PTS,23.5,24.04,69.6%,Over,B Tier,2.3
Jock Landale,MEM,LAC,FG3M,0.5,0.66,69.5%,Over,B Tier,32.0
Ajay Mitchell,OKC,PHX,PRA,21.5,22.42,69.4%,Over,B Tier,4.3
Jock Landale,MEM,LAC,AST,1.5,1.42,69.4%,Under,B Tier,-5.3
DeMar DeRozan,SAC,UTA,AST,3.5,3.38,69.3%,Under,B Tier,-3.4
Royce O'Neale,PHX,OKC,PRA,18.5,18.78,69.2%,Over,B Tier,1.5
Justin Edwards,PHI,BKN,AST,1.5,1.42,69.0%,Under,B Tier,-5.3
Grayson Allen,PHX,OKC,FG3M,2.5,2.54,68.9%,Over,B Tier,1.6
De'Andre Hunter,CLE,ATL,PRA,23.5,24.26,68.4%,Over,B Tier,3.2
Santi Aldama,MEM,LAC,PRA,21.5,21.76,68.4%,Over,B Tier,1.2
Jusuf Nurkic,UTA,SAC,PRA,23.5,24.17,67.5%,Over,B Tier,2.9
Brice Sensabaugh,UTA,SAC,AST,1.5,1.42,67.1%,Under,B Tier,-5.3
Ace Bailey,UTA,SAC,AST,1.5,1.42,67.1%,Under,B Tier,-5.3
Isaiah Hartenstein,OKC,PHX,PRA,23.5,23.75,66.9%,Over,B Tier,1.1
Jalen Duren,DET,ORL,AST,2.5,2.19,65.9%,Under,B Tier,-12.4
Chet Holmgren,OKC,PHX,PTS,17.5,17.94,65.9%,Over,B Tier,2.5
Kentavious Caldwell-Pope,MEM,LAC,REB,1.5,1.34,65.8%,Under,B Tier,-10.7
Jaylen Wells,MEM,LAC,AST,1.5,1.42,65.5%,Under,B Tier,-5.3
Isaiah Jackson,IND,WAS,AST,1.5,1.42,65.3%,Under,B Tier,-5.3
Jake LaRavia,LAL,DAL,FG3M,0.5,0.66,65.2%,Over,B Tier,32.0
Marcus Smart,LAL,DAL,FG3M,0.5,0.66,65.1%,Over,B Tier,32.0
Joel Embiid,PHI,BKN,AST,3.5,3.37,64.9%,Under,B Tier,-3.7
Dylan Harper,SAS,DEN,REB,2.5,2.28,64.7%,Under,B Tier,-8.8
Marcus Smart,LAL,DAL,PRA,10.5,11.33,64.6%,Over,B Tier,7.9
Kyle Filipowski,UTA,SAC,AST,1.5,1.42,64.3%,Under,B Tier,-5.3
Jusuf Nurkic,UTA,SAC,AST,3.5,3.19,64.2%,Under,B Tier,-8.9
Precious Achiuwa,SAC,UTA,AST,1.5,1.42,64.2%,Under,B Tier,-5.3
Kentavious Caldwell-Pope,MEM,LAC,FG3M,0.5,0.66,64.2%,Over,B Tier,32.0
Cam Spencer,MEM,LAC,REB,2.5,2.28,64.1%,Under,B Tier,-8.8
Luke Kennard,ATL,CLE,REB,1.5,1.35,63.9%,Under,B Tier,-10.0
Devin Vassell,SAS,DEN,REB,3.5,3.34,63.9%,Under,B Tier,-4.6
Shai Gilgeous-Alexander,OKC,PHX,PTS,31.5,31.59,63.9%,Over,B Tier,0.3
Spencer Jones,DEN,SAS,REB,2.5,2.39,63.7%,Under,B Tier,-4.4
Jordan Clarkson,NYK,MIL,AST,1.5,1.42,63.5%,Under,B Tier,-5.3
Jake LaRavia,LAL,DAL,AST,1.5,1.42,63.1%,Under,B Tier,-5.3
Grayson Allen,PHX,OKC,AST,3.5,3.31,62.9%,Under,B Tier,-5.4
Ayo Dosunmu,CHI,CHA,REB,2.5,2.3,62.8%,Under,B Tier,-8.0
AJ Green,MIL,NYK,PRA,14.5,15.18,62.6%,Over,B Tier,4.7
Jonas Valanciunas,DEN,SAS,AST,1.5,1.42,62.6%,Under,B Tier,-5.3
Vince Williams Jr.,MEM,LAC,REB,4.5,4.02,62.5%,Under,B Tier,-10.7
CJ McCollum,WAS,IND,AST,3.5,3.34,62.3%,Under,B Tier,-4.6
Isaac Okoro,CHI,CHA,REB,2.5,2.29,62.3%,Under,B Tier,-8.4
Deuce McBride,NYK,MIL,PRA,15.5,16.39,62.2%,Over,B Tier,5.7
Luke Kennard,ATL,CLE,AST,2.5,2.25,62.2%,Under,B Tier,-10.0
Svi Mykhailiuk,UTA,SAC,AST,2.5,2.19,62.1%,Under,B Tier,-12.4
Alex Sarr,WAS,IND,AST,3.5,3.19,62.0%,Under,B Tier,-8.9
Cam Johnson,DEN,SAS,FG3M,2.5,2.54,62.0%,Over,B Tier,1.6
Kentavious Caldwell-Pope,MEM,LAC,AST,2.5,2.25,62.0%,Under,B Tier,-10.0
Cedric Coward,MEM,LAC,AST,2.5,2.25,62.0%,Under,B Tier,-10.0
Duncan Robinson,DET,ORL,FG3M,2.5,2.54,61.9%,Over,B Tier,1.6
Jaylen Wells,MEM,LAC,REB,3.5,3.34,61.9%,Under,B Tier,-4.6
Marcus Smart,LAL,DAL,AST,1.5,1.42,61.7%,Under,B Tier,-5.3
Alex Caruso,OKC,PHX,REB,2.5,2.28,61.5%,Under,B Tier,-8.8
Cason Wallace,OKC,PHX,REB,2.5,2.28,61.5%,Under,B Tier,-8.8
Ajay Mitchell,OKC,PHX,REB,2.5,2.28,61.5%,Under,B Tier,-8.8
Kyle Kuzma,MIL,NYK,AST,1.5,1.42,61.0%,Under,B Tier,-5.3
Julian Champagnie,SAS,DEN,AST,1.5,1.42,60.9%,Under,B Tier,-5.3
Keldon Johnson,SAS,DEN,AST,1.5,1.42,60.9%,Under,B Tier,-5.3
Tim Hardaway Jr.,DEN,SAS,REB,2.5,2.28,60.9%,Under,B Tier,-8.8
AJ Green,MIL,NYK,REB,2.5,2.27,60.5%,Under,B Tier,-9.2
Vit Krejci,ATL,CLE,REB,2.5,2.3,60.4%,Under,B Tier,-8.0
Max Christie,DAL,LAL,REB,3.5,3.28,60.4%,Under,B Tier,-6.3
