Team,Team_Full,Player,Position,Updated,Injury,Injury Status,Status_Clean
MIN,Minnesota,Terrence Shannon Jr.,SG,"Fri, Nov 14",Foot,Expected to be out until at least Nov 24,OUT
NOP,New Orleans,Jordan Poole,SG,"Thu, Nov 20",Quadriceps,Expected to be out until at least Nov 22,OUT
NOP,New Orleans,Karlo Matkovic,PF,"Thu, Nov 20",Calf,Expected to be out until at least Nov 22,OUT
NOP,New Orleans,Dejounte Murray,PG,"Thu, Oct 2",Achilles,Expected to be out until at least Jan 2,OUT
NYK,New York,Jalen Brunson,PG,"Fri, Nov 21",Ankle,Game Time Decision,GTD
NYK,New York,OG Anunoby,SF,"Sun, Nov 16",Hamstring,Expected to be out until at least Dec 2,OUT
NYK,New York,Kevin McCullar Jr.,SG,"Sat, Nov 15",Back,Game Time Decision,GTD
UNK,Oklahoma City,Aaron Wiggins,SG,"Thu, Nov 20",Thigh,Expected to be out until at least Nov 23,OUT
UNK,Oklahoma City,Jalen Williams,SF,"Thu, Nov 20",Wrist,Expected to be out until at least Nov 23,OUT
UNK,Oklahoma City,Kenrich Williams,SG,"Tue, Nov 18",Knee,Expected to be out until at least Nov 23,OUT
UNK,Oklahoma City,Nikola Topic,PG,"Thu, Oct 30",Groin,Expected to be out until at least Feb 20,OUT
UNK,Oklahoma City,Thomas Sorber,PF,"Tue, Oct 28",Knee,Out for the season,OUT
ORL,Orlando,Paolo Banchero,PF,"Fri, Nov 21",Groin,Expected to be out until at least Nov 23,OUT
ORL,Orlando,Colin Castleton,C,"Fri, Nov 21",Hand,Game Time Decision,GTD
ORL,Orlando,Moe Wagner,C,"Mon, Nov 17",Knee,Expected to be out until at least Nov 25,OUT
PHI,Philadelphia,Adem Bona,PF,"Fri, Nov 21",Ankle,Game Time Decision,GTD
PHI,Philadelphia,Joel Embiid,C,"Fri, Nov 21",Knee,Game Time Decision,GTD
PHI,Philadelphia,Kelly Oubre Jr.,SG,"Wed, Nov 19",Knee,Expected to be out until at least Dec 4,OUT
