Rk,Player,Age,Team,Pos,G,GS,MP,FG%,2P%,3P%,eFG%,FT%,TS%,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add
294.0,Karlo Matković,24.0,NOP,PF,12.0,0.0,137.0,0.703,0.786,0.444,0.757,0.375,0.728,0.216,0.243,150.0,144.0,124.0,139.0,48.0,125.0,76.0,58.0,15.8,11.8
295.0,Chris Paul,40.0,LAC,PG,10.0,0.0,137.0,0.273,0.273,0.273,0.364,1.0,0.374,0.03,0.667,58.0,50.0,76.0,67.0,127.0,64.0,11.0,159.0,-11.8,-13.9
296.0,Mitchell Robinson,27.0,NYK,C,8.0,8.0,137.0,0.609,0.609,,0.609,0.222,0.556,0.391,0.0,130.0,111.0,,112.0,28.0,96.0,137.0,0.0,3.0,-1.4
297.0,Hugo González,19.0,BOS,SF,11.0,1.0,136.0,0.452,0.429,0.5,0.532,0.0,0.525,0.032,0.323,97.0,78.0,140.0,98.0,0.0,90.0,11.0,77.0,-0.7,-3.6
298.0,Ousmane Dieng,22.0,OKC,C,12.0,0.0,135.0,0.306,0.421,0.176,0.347,1.0,0.384,0.111,0.472,65.0,77.0,49.0,64.0,127.0,66.0,39.0,113.0,-14.1,-15.0
299.0,Micah Peavy,24.0,NOP,SG,11.0,0.0,135.0,0.4,0.52,0.2,0.438,0.8,0.462,0.125,0.375,85.0,95.0,56.0,81.0,101.0,79.0,44.0,90.0,-8.4,-10.1
300.0,Guerschon Yabusele,30.0,NYK,C,13.0,0.0,133.0,0.316,0.455,0.259,0.408,0.5,0.418,0.158,0.711,67.0,83.0,72.0,75.0,63.0,72.0,55.0,170.0,-10.3,-13.3
301.0,Pat Spencer,29.0,GSW,PG,10.0,0.0,132.0,0.358,0.361,0.353,0.415,0.917,0.472,0.226,0.321,77.0,66.0,99.0,76.0,116.0,81.0,79.0,77.0,-13.5,-12.9
302.0,Bennedict Mathurin,23.0,IND,SF,4.0,4.0,132.0,0.517,0.583,0.417,0.6,0.796,0.68,0.817,0.4,110.0,107.0,116.0,111.0,101.0,117.0,287.0,96.0,6.9,16.0
303.0,Caleb Martin,30.0,DAL,SF,13.0,0.0,130.0,0.318,0.4,0.143,0.341,0.875,0.431,0.364,0.318,68.0,73.0,40.0,63.0,111.0,74.0,128.0,76.0,-8.9,-7.7
304.0,Amir Coffey,28.0,MIL,SG,13.0,0.0,128.0,0.421,0.545,0.25,0.474,1.0,0.517,0.158,0.421,90.0,100.0,70.0,87.0,127.0,89.0,55.0,101.0,-2.6,-2.7
305.0,Chaz Lanier,24.0,DET,SG,11.0,0.0,128.0,0.35,0.5,0.333,0.5,1.0,0.52,0.075,0.9,75.0,91.0,93.0,92.0,127.0,89.0,26.0,215.0,-3.4,-5.1
306.0,Kobe Sanders,23.0,LAC,SG,7.0,2.0,126.0,0.381,0.412,0.36,0.488,0.875,0.527,0.19,0.595,81.0,75.0,101.0,90.0,111.0,91.0,67.0,142.0,-4.6,-5.0
307.0,Trayce Jackson-Davis,25.0,GSW,C,10.0,1.0,125.0,0.548,0.548,,0.548,0.667,0.591,0.581,0.0,117.0,100.0,,101.0,84.0,101.0,204.0,0.0,0.3,0.7
308.0,Ochai Agbaji,25.0,TOR,SG,9.0,1.0,125.0,0.36,0.615,0.083,0.38,0.625,0.421,0.32,0.48,77.0,113.0,23.0,70.0,79.0,72.0,112.0,115.0,-8.1,-9.2
309.0,Clint Capela,31.0,HOU,C,12.0,0.0,122.0,0.643,0.643,,0.643,0.8,0.679,0.357,0.0,137.0,118.0,,118.0,101.0,117.0,125.0,0.0,5.6,6.3
310.0,Bradley Beal,32.0,LAC,SG,6.0,6.0,121.0,0.375,0.379,0.368,0.448,0.75,0.476,0.167,0.396,80.0,69.0,103.0,83.0,95.0,82.0,59.0,95.0,-9.1,-11.0
311.0,Bones Hyland,25.0,MIN,PG,13.0,0.0,118.0,0.488,0.75,0.32,0.585,0.75,0.596,0.098,0.61,104.0,137.0,89.0,108.0,95.0,102.0,34.0,146.0,3.5,1.2
312.0,Cody Williams,21.0,UTA,SG,9.0,0.0,118.0,0.367,0.563,0.143,0.4,0.333,0.399,0.1,0.467,78.0,103.0,40.0,74.0,42.0,69.0,35.0,112.0,-8.6,-11.5
313.0,Cam Christie,20.0,LAC,SG,10.0,0.0,116.0,0.417,0.389,0.444,0.528,0.737,0.586,0.528,0.5,89.0,71.0,124.0,97.0,93.0,101.0,185.0,119.0,-1.1,0.3
314.0,Terrence Shannon Jr.,25.0,MIN,SG,7.0,0.0,115.0,0.321,0.294,0.364,0.393,0.714,0.434,0.25,0.393,69.0,54.0,102.0,72.0,90.0,75.0,88.0,94.0,-8.4,-9.2
315.0,Dwight Powell,34.0,DAL,C,12.0,0.0,114.0,0.5,0.5,,0.5,0.833,0.678,1.5,0.0,107.0,91.0,,92.0,106.0,116.0,527.0,0.0,-1.0,3.8
316.0,Baylor Scheierman,25.0,BOS,SG,11.0,0.0,113.0,0.55,0.667,0.529,0.775,1.0,0.783,0.05,0.85,118.0,122.0,148.0,143.0,127.0,134.0,18.0,203.0,9.3,8.2
317.0,Maxime Raynaud,22.0,SAC,C,8.0,0.0,113.0,0.5,0.531,0.25,0.514,0.889,0.563,0.25,0.111,107.0,97.0,70.0,95.0,113.0,97.0,88.0,27.0,-2.1,-1.5
318.0,Liam McNeeley,20.0,CHO,SF,9.0,0.0,112.0,0.31,0.273,0.333,0.414,0.867,0.52,0.517,0.621,66.0,50.0,93.0,76.0,110.0,89.0,182.0,148.0,-7.5,-4.5
319.0,Kevin Love,37.0,UTA,PF,8.0,0.0,112.0,0.333,0.75,0.261,0.444,0.833,0.527,0.444,0.852,71.0,137.0,73.0,82.0,106.0,90.0,156.0,204.0,-5.3,-3.6
320.0,Pat Connaughton,33.0,CHO,SG,11.0,0.0,111.0,0.514,0.692,0.409,0.643,0.667,0.655,0.257,0.629,110.0,127.0,114.0,118.0,84.0,112.0,90.0,150.0,7.0,5.6
321.0,Bronny James,21.0,LAL,SG,10.0,1.0,111.0,0.296,0.313,0.273,0.352,1.0,0.377,0.074,0.407,63.0,57.0,76.0,65.0,127.0,65.0,26.0,97.0,-10.3,-11.5
322.0,Robert Williams,28.0,POR,C,9.0,0.0,108.0,0.643,0.68,0.333,0.661,0.0,0.65,0.036,0.107,137.0,124.0,93.0,122.0,0.0,112.0,13.0,26.0,6.6,3.9
