CLOSE_DEF_PERSON_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,PLAYER_POSITION,AGE,GP,G,FREQ,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,PCT_PLUSMINUS
1631132,Christian Koloko,1610612747,LAL,C,25.0,2,2,1.0,5,6,0.833,0.52,0.314
1630548,Johnny Juzang,1610612750,MIN,G,24.0,5,5,1.0,3,6,0.5,0.417,0.083
1641816,Hunter Tyson,1610612743,DEN,F,25.0,4,4,1.0,2,6,0.333,0.469,-0.135
1642885,Mohamed Diawara,1610612752,NYK,F,20.0,6,6,1.0,4,6,0.667,0.412,0.255
201145,Jeff Green,1610612745,HOU,F,39.0,3,3,1.0,4,6,0.667,0.43,0.237
204060,Joe Ingles,1610612750,MIN,F-G,38.0,3,3,1.0,2,6,0.333,0.426,-0.093
1631216,Caleb Houstan,1610612737,ATL,G,22.0,3,3,1.0,5,6,0.833,0.482,0.352
1642939,Miles Kelly,1610612742,DAL,G,22.0,1,1,1.0,4,6,0.667,0.451,0.216
1642876,Adou Thiero,1610612747,LAL,G,21.0,2,2,1.0,5,6,0.833,0.442,0.392
1642434,Riley Minix,1610612759,SAS,F,25.0,3,3,1.0,2,5,0.4,0.37,0.03
201569,Eric Gordon,1610612755,PHI,G,36.0,3,3,1.0,0,5,0.0,0.453,-0.453
1630604,E.J. Liddell,1610612751,BKN,F,24.0,5,5,1.0,2,5,0.4,0.543,-0.143
1642443,Jahmir Young,1610612748,MIA,G,25.0,2,2,1.0,1,4,0.25,0.421,-0.171
1631451,Javonte Cooke,1610612757,POR,G,26.0,2,2,1.0,2,4,0.5,0.493,0.007
1643141,Jahmyl Telfort,1610612746,LAC,G,24.0,2,2,1.0,2,4,0.5,0.56,-0.06
1641780,Johni Broome,1610612755,PHI,F,23.0,1,1,1.0,3,4,0.75,0.48,0.27
1641810,Antonio Reeves,1610612766,CHA,G,25.0,2,2,1.0,2,4,0.5,0.48,0.02
1642873,Amari Williams,1610612738,BOS,F-C,23.0,1,1,1.0,2,4,0.5,0.617,-0.117
1641998,Trey Jemison III,1610612752,NYK,C,25.0,1,1,1.0,1,4,0.25,0.447,-0.197
1630264,Anthony Gill,1610612764,WAS,F,33.0,3,3,1.0,0,3,0.0,0.563,-0.563
203648,Thanasis Antetokounmpo,1610612749,MIL,F,33.0,2,2,1.0,2,3,0.667,0.639,0.028
1631127,Harrison Ingram,1610612759,SAS,F,22.0,2,2,1.0,1,3,0.333,0.447,-0.114
1642066,Myron Gardner,1610612748,MIA,F,24.0,1,1,1.0,2,3,0.667,0.508,0.158
203926,Doug McDermott,1610612758,SAC,F,33.0,1,1,1.0,0,3,0.0,0.439,-0.439
1642886,Koby Brea,1610612756,PHX,G,23.0,1,1,1.0,1,3,0.333,0.667,-0.334
1631288,Jamal Cain,1610612753,ORL,F,26.0,1,1,1.0,0,3,0.0,0.42,-0.42
1641747,DaRon Holmes II,1610612743,DEN,F,23.0,2,2,1.0,1,3,0.333,0.39,-0.057
1631123,Jamaree Bouyea,1610612756,PHX,G,26.0,1,1,1.0,1,3,0.333,0.348,-0.014
1631342,Daeqwon Plowden,1610612758,SAC,G-F,27.0,1,1,1.0,0,3,0.0,0.487,-0.487
1642942,Jahmai Mashack,1610612763,MEM,G,23.0,1,1,1.0,2,3,0.667,0.5,0.167
1642874,Danny Wolf,1610612751,BKN,F,21.0,2,2,1.0,0,2,0.0,0.59,-0.59
202066,Garrett Temple,1610612761,TOR,G-F,39.0,2,2,1.0,1,2,0.5,0.443,0.058
1642282,Hunter Sallis,1610612755,PHI,G,22.0,1,1,1.0,1,2,0.5,0.444,0.056
1631199,Ron Harper Jr.,1610612738,BOS,G-F,25.0,2,2,1.0,1,2,0.5,0.578,-0.078
1643024,Chris Mañon,1610612747,LAL,G,23.0,2,2,1.0,2,2,1.0,0.47,0.53
1641732,Colby Jones,1610612765,DET,G,23.0,1,1,1.0,1,1,1.0,0.4,0.6
1631115,Orlando Robinson,1610612753,ORL,C,25.0,1,1,1.0,1,1,1.0,0.46,0.54
1629726,Garrison Mathews,1610612754,IND,G,29.0,1,1,1.0,0,1,0.0,0.533,-0.533
1631250,Pete Nance,1610612749,MIL,F,25.0,1,1,1.0,0,1,0.0,0.46,-0.46
1630536,Sharife Cooper,1610612764,WAS,G,24.0,1,1,1.0,0,1,0.0,0.511,-0.511
