Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.
32.0,Payton Pritchard,28.0,BOS,PG,15.0,15.0,482.0,0.441,20.3,0.401,0.069,0.104,0.149,0.079,0.599,0.605,0.643,0.762,0.567,0.438,0.331,0.143,0.85,0.0,0.0,0.058,0.286,0.0,0.0
33.0,Duncan Robinson,31.0,DET,SF,15.0,15.0,482.0,0.447,21.0,0.22,0.071,0.142,0.007,0.0,0.78,0.548,0.7,0.45,1.0,,0.418,0.706,0.978,0.0,0.0,0.182,0.45,0.0,0.0
34.0,Keyonte George,22.0,UTA,PG,14.0,14.0,482.0,0.427,15.8,0.59,0.06,0.312,0.12,0.098,0.41,0.522,0.786,0.521,0.464,0.435,0.292,0.444,0.714,0.021,5.0,0.135,0.308,0.0,0.0
35.0,Jaylen Brown,29.0,BOS,SF,15.0,15.0,481.0,0.503,14.5,0.723,0.168,0.206,0.142,0.206,0.277,0.563,0.827,0.422,0.432,0.578,0.349,0.365,0.567,0.019,3.0,0.07,0.333,0.0,0.0
36.0,Alperen Şengün,23.0,HOU,C,13.0,13.0,480.0,0.489,10.3,0.826,0.26,0.342,0.169,0.055,0.174,0.497,0.649,0.467,0.351,0.417,0.447,0.356,0.882,0.059,12.0,0.105,0.75,0.0,0.0
37.0,Myles Turner,29.0,MIL,C,16.0,16.0,478.0,0.436,18.6,0.41,0.128,0.122,0.109,0.051,0.59,0.453,0.6,0.421,0.294,0.5,0.424,0.655,1.0,0.032,5.0,0.185,0.588,0.0,0.0
38.0,Quentin Grimes,25.0,PHI,SG,15.0,0.0,477.0,0.465,17.1,0.436,0.25,0.11,0.041,0.035,0.564,0.547,0.698,0.474,0.143,0.167,0.402,0.634,0.846,0.023,3.0,0.124,0.25,1.0,1.0
39.0,Immanuel Quickley,26.0,TOR,PG,15.0,15.0,477.0,0.467,17.3,0.467,0.143,0.187,0.104,0.033,0.533,0.565,0.808,0.382,0.579,0.5,0.381,0.354,0.784,0.005,1.0,0.103,0.1,0.0,0.0
40.0,Donovan Mitchell,29.0,CLE,SG,14.0,14.0,477.0,0.507,17.2,0.493,0.16,0.163,0.085,0.085,0.507,0.633,0.689,0.63,0.625,0.542,0.385,0.193,0.564,0.014,3.0,0.098,0.571,0.0,0.0
41.0,RJ Barrett,25.0,TOR,SF,15.0,15.0,476.0,0.5,12.0,0.631,0.341,0.22,0.065,0.005,0.369,0.593,0.644,0.574,0.429,0.0,0.342,0.563,0.963,0.051,11.0,0.228,0.333,0.0,0.0
42.0,Rudy Gobert,33.0,MIN,C,15.0,15.0,475.0,0.764,2.0,1.0,0.764,0.236,0.0,0.0,0.0,0.764,0.824,0.571,,,,0.662,,0.427,35.0,,,0.0,0.0
43.0,Rui Hachimura,27.0,LAL,PF,14.0,14.0,475.0,0.566,14.6,0.628,0.241,0.103,0.166,0.117,0.372,0.615,0.629,0.6,0.583,0.647,0.481,0.75,1.0,0.076,10.0,0.426,0.348,0.0,0.0
44.0,Ivica Zubac,28.0,LAC,C,15.0,15.0,473.0,0.605,4.3,1.0,0.442,0.471,0.087,0.0,0.0,0.605,0.711,0.494,0.667,,,0.625,,0.174,26.0,,,0.0,0.0
45.0,Jalen Johnson,24.0,ATL,SF,14.0,14.0,472.0,0.58,9.9,0.78,0.351,0.288,0.093,0.049,0.22,0.631,0.806,0.508,0.526,0.3,0.4,0.574,0.833,0.117,23.0,0.089,0.25,0.0,0.0
46.0,Kevin Durant,37.0,HOU,SF,13.0,13.0,470.0,0.496,15.2,0.728,0.085,0.17,0.317,0.156,0.272,0.54,0.789,0.553,0.479,0.514,0.377,0.455,0.696,0.054,12.0,0.049,0.0,0.0,0.0
47.0,Onyeka Okongwu,25.0,ATL,C,16.0,6.0,469.0,0.526,12.9,0.577,0.274,0.274,0.029,0.0,0.423,0.604,0.771,0.438,0.6,,0.419,0.82,1.0,0.103,17.0,0.351,0.5,0.0,0.0
48.0,Jimmy Butler,36.0,GSW,SF,15.0,15.0,469.0,0.535,9.7,0.808,0.308,0.326,0.122,0.052,0.192,0.554,0.774,0.482,0.381,0.111,0.455,0.455,0.733,0.064,11.0,0.424,0.5,0.0,0.0
49.0,Zach LaVine,30.0,SAC,SG,14.0,14.0,469.0,0.512,16.5,0.517,0.19,0.166,0.057,0.104,0.483,0.606,0.75,0.514,0.583,0.5,0.412,0.636,0.786,0.071,14.0,0.216,0.5,0.0,0.0
50.0,Amen Thompson,23.0,HOU,SF,13.0,13.0,466.0,0.467,8.5,0.837,0.424,0.277,0.082,0.054,0.163,0.519,0.718,0.314,0.267,0.4,0.2,0.525,1.0,0.185,33.0,0.5,0.133,0.0,0.0
51.0,Karl-Anthony Towns,30.0,NYK,C,14.0,14.0,465.0,0.429,12.1,0.634,0.393,0.192,0.013,0.036,0.366,0.493,0.602,0.349,0.333,0.125,0.317,0.557,0.962,0.085,16.0,0.049,0.5,0.0,0.0
52.0,P.J. Washington,27.0,DAL,PF,15.0,15.0,463.0,0.423,12.9,0.648,0.17,0.374,0.066,0.038,0.352,0.492,0.581,0.471,0.417,0.429,0.297,0.586,0.947,0.066,11.0,0.359,0.391,0.0,0.0
53.0,Donte DiVincenzo,29.0,MIN,SG,15.0,15.0,461.0,0.433,20.8,0.24,0.087,0.107,0.027,0.02,0.76,0.556,0.615,0.5,0.25,1.0,0.395,0.7,0.978,0.013,2.0,0.219,0.32,0.0,0.0
54.0,Jaime Jaquez Jr.,24.0,MIA,SF,15.0,0.0,459.0,0.516,8.0,0.849,0.359,0.401,0.068,0.021,0.151,0.571,0.71,0.468,0.462,0.5,0.207,0.484,1.0,0.052,9.0,0.207,0.167,0.0,0.0
55.0,A.J. Green,26.0,MIL,SG,16.0,16.0,458.0,0.486,24.2,0.081,0.018,0.027,0.027,0.009,0.919,0.556,0.5,0.667,0.667,0.0,0.48,0.6,0.918,0.0,0.0,0.255,0.692,0.0,0.0
56.0,Davion Mitchell,27.0,MIA,PG,15.0,15.0,455.0,0.5,13.2,0.631,0.172,0.361,0.074,0.025,0.369,0.558,0.619,0.591,0.333,0.333,0.4,0.326,0.889,0.0,0.0,0.067,0.0,0.0,0.0
