Rk,Player,Age,Team,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
72,Anthony Black,22,ORL,PG,16,3,432,65,35,0,0,0,1.5,-6.5,23,5,26,1,26,3,96,9,13
73,Cason Wallace,22,OKC,SG,15,15,432,9,67,21,3,0,18.4,7.7,12,4,17,0,6,0,98,1,5
74,Naji Marshall,28,DAL,SF,16,1,428,0,0,33,62,4,-10.7,-8.2,11,5,15,2,29,0,89,6,10
75,Jake LaRavia,24,LAL,PF,15,6,428,0,0,3,85,12,1.0,-4.6,13,3,19,0,20,1,80,5,5
76,Draymond Green,35,GSW,PF,15,15,425,0,0,24,57,19,10.4,20.8,32,4,24,12,7,4,211,1,7
77,Deandre Ayton,27,LAL,C,14,14,425,0,0,0,0,100,1.1,-4.5,9,13,28,6,8,0,30,3,8
78,Cedric Coward,22,MEM,SG,16,3,424,0,41,49,10,0,0.0,11.6,7,11,15,2,24,4,107,2,9
79,Michael Porter Jr.,27,BRK,SF,13,13,424,0,2,50,48,0,-10.0,5.9,9,6,10,6,24,0,96,8,9
80,Kelly Oubre Jr.,30,PHI,SF,12,12,418,0,0,60,41,0,0.5,-3.1,6,6,12,3,19,9,38,6,9
81,Grayson Allen,30,PHO,SG,13,13,417,50,40,10,0,0,5.7,-0.6,9,7,15,4,16,4,138,4,11
82,Stephon Castle,21,SAS,PG,13,13,416,74,26,0,0,0,6.1,-1.2,29,16,17,4,42,9,238,8,9
83,Victor Wembanyama,22,SAS,C,12,12,416,0,0,0,0,100,8.8,4.9,10,20,17,12,30,4,120,5,3
84,CJ McCollum,34,WAS,SG,14,14,415,53,47,0,0,0,-12.2,8.7,12,5,13,2,22,0,117,6,7
85,Giannis Antetokounmpo,31,MIL,PF,13,13,414,0,0,0,71,29,8.0,19.8,14,16,11,10,62,0,245,14,12
86,Santi Aldama,25,MEM,PF,16,1,412,0,0,5,91,4,-3.6,3.3,9,7,13,3,17,2,100,8,4
87,Julian Champagnie,24,SAS,SF,15,10,412,0,6,69,25,0,8.0,3.2,10,4,10,0,13,0,52,2,4
88,Nic Claxton,26,BRK,C,14,14,412,0,0,0,0,100,-12.8,-1.8,7,5,13,4,37,4,128,11,13
89,Josh Giddey,23,CHI,PG,12,12,410,61,39,0,0,0,-1.6,-3.4,27,10,16,2,31,3,292,3,12
90,Kyshawn George,22,WAS,SF,13,13,409,0,22,61,18,0,-14.8,1.7,15,21,28,5,16,5,147,5,11
91,Jalen Brunson,29,NYK,PG,12,12,408,100,0,0,0,0,10.0,10.5,19,8,16,3,38,12,193,11,9
92,Luka Dončić,26,LAL,PG,11,11,405,88,12,0,0,0,6.1,7.4,30,10,10,2,61,9,230,17,5
93,Stephen Curry,37,GSW,PG,13,13,401,100,0,0,0,0,2.1,4.0,13,17,16,3,31,3,131,7,5
94,Jrue Holiday,35,POR,PG,12,12,401,100,0,0,0,0,1.1,6.7,23,9,9,1,8,2,232,1,6
95,Kyle Kuzma,30,MIL,PF,15,6,400,0,0,50,50,0,0.1,2.6,7,10,27,0,28,1,71,9,9
96,Shaedon Sharpe,22,POR,SG,14,14,400,25,68,6,1,0,1.1,6.6,13,21,10,4,41,2,74,16,14
97,Jaylen Wells,22,MEM,SG,16,16,399,0,4,80,16,0,-7.1,-4.2,5,4,17,0,11,8,60,4,12
98,Jerami Grant,31,POR,PF,14,2,399,0,0,41,56,3,-5.6,-8.4,8,7,19,6,43,0,90,11,13
99,Sion James,23,CHO,SG,15,10,398,1,63,37,0,0,-1.6,4.6,5,3,10,2,9,5,56,2,7
100,Matas Buzelis,21,CHI,PF,14,14,396,0,0,0,96,4,0.6,2.1,8,17,30,1,17,1,49,4,10
101,Jeremiah Fears,19,NOP,PG,15,13,394,97,3,0,0,0,-21.2,-16.7,20,9,9,5,22,3,97,8,15
102,Jabari Smith Jr.,22,HOU,PF,12,12,394,0,0,28,70,2,14.4,7.5,2,4,23,2,12,2,51,5,8
103,Paolo Banchero,23,ORL,PF,12,12,393,0,0,0,98,2,3.3,-2.2,8,16,16,3,56,1,123,14,16
104,Ben Sheppard,24,IND,SG,15,6,386,28,60,12,0,0,-15.6,-7.8,6,3,24,0,7,2,65,1,8
105,Tristan Da Silva,24,ORL,SF,16,4,384,0,13,80,7,0,15.7,22.2,8,3,7,1,9,0,41,0,4
106,Kris Dunn,31,LAC,PG,15,9,384,81,19,0,0,0,-9.6,-6.0,11,5,21,1,9,0,88,2,7
107,Donovan Clingan,21,POR,C,15,15,383,0,0,0,0,100,-1.3,1.3,5,2,29,3,14,0,47,6,6
108,John Collins,28,LAC,PF,15,6,380,0,0,0,99,1,-5.7,2.2,7,11,17,4,18,0,23,9,8
109,Moses Moody,23,GSW,SG,15,7,380,33,49,16,1,0,3.5,6.2,14,3,15,3,15,2,65,3,7
110,Terance Mann,29,BRK,SG,14,14,380,22,72,6,0,0,-11.7,1.0,4,6,22,0,12,5,122,2,8
111,Svi Mykhailiuk,28,UTA,SF,14,14,378,1,77,22,0,0,-3.5,5.2,6,2,11,1,5,2,73,4,1
112,Alex Sarr,20,WAS,C,13,13,377,0,0,0,0,100,-12.5,6.6,12,13,20,4,17,1,123,4,18
113,Saddiq Bey,26,NOP,SF,14,7,376,0,54,44,3,0,-16.2,-5.8,5,1,8,3,14,2,67,1,10
114,Jalen Duren,22,DET,C,13,13,376,0,0,0,0,100,11.2,9.2,6,9,24,8,42,0,55,9,12
115,De'Andre Hunter,28,CLE,SF,13,13,376,0,11,72,17,0,3.0,-2.0,9,13,13,1,25,4,94,10,9
116,Jock Landale,30,MEM,C,16,13,374,0,0,0,0,100,-11.4,-12.3,8,3,27,5,12,2,62,1,11
117,OG Anunoby,28,NYK,PF,12,12,373,0,0,19,80,2,14.9,20.0,14,5,15,2,9,5,65,3,12
118,Norman Powell,32,MIA,SG,12,12,373,2,99,0,0,0,6.6,6.5,7,12,9,3,30,1,68,7,13
119,Ryan Kalkbrenner,24,CHO,C,14,14,371,0,0,0,0,100,-4.7,-2.3,4,4,13,11,12,0,14,4,6
120,Anfernee Simons,26,BOS,SG,15,0,368,52,48,0,0,0,-0.8,-12.5,7,10,19,2,13,0,98,4,9
121,Neemias Queta,26,BOS,C,15,15,367,0,0,0,0,100,16.1,21.7,2,3,33,7,12,0,64,5,3
122,Collin Sexton,27,CHO,SG,14,9,367,43,55,3,0,0,-2.9,1.5,20,14,10,2,27,6,159,6,13
123,Bub Carrington,20,WAS,PG,14,5,366,100,0,0,0,0,-24.2,-18.7,24,7,14,1,5,1,133,1,5
124,Kevin Huerter,27,CHI,SF,14,5,366,0,13,76,10,0,-2.0,-3.8,16,5,20,0,15,0,87,5,8
125,Kentavious Caldwell-Pope,32,MEM,SG,16,13,365,1,84,15,0,0,-9.2,-7.8,8,8,12,0,11,7,127,0,5
126,Collin Gillespie,26,PHO,PG,15,0,365,100,0,0,0,0,10.5,8.9,11,9,12,1,11,6,190,4,5
127,Naz Reid,26,MIN,C,15,0,365,0,0,0,47,53,2.8,-10.2,9,8,21,5,11,5,74,3,12
128,Aaron Gordon,30,DEN,PF,12,12,365,0,0,0,98,2,20.2,18.4,11,3,12,2,30,0,41,7,5
129,Domantas Sabonis,29,SAC,C,11,11,365,0,0,0,3,98,-20.4,-12.5,7,10,19,10,20,0,88,2,14
130,Jarrett Allen,27,CLE,C,14,14,364,0,0,0,0,100,11.3,14.0,7,10,13,4,21,4,61,4,15
131,Keldon Johnson,26,SAS,SF,15,0,363,0,37,52,11,0,2.8,-7.6,5,5,11,1,11,2,61,3,15
132,Ryan Dunn,23,PHO,SF,15,10,361,0,2,38,60,0,10.2,8.4,8,3,16,2,7,3,70,1,5
133,Kel'el Ware,21,MIA,C,15,11,361,0,0,0,0,100,-4.7,-16.4,6,3,19,5,12,1,25,5,5
134,Jonathan Kuminga,23,GSW,PF,13,12,360,0,0,1,63,36,-4.4,-8.1,16,13,11,1,25,1,90,4,9
135,Chet Holmgren,23,OKC,PF,12,12,359,0,0,8,65,27,22.0,13.2,10,9,23,7,24,1,43,3,9
136,Ron Holland,20,DET,SF,15,5,358,0,0,32,68,0,5.0,-3.6,7,14,18,1,11,7,66,3,9
137,Isaac Okoro,25,CHI,SG,14,14,356,0,45,51,4,0,-6.6,-13.2,5,6,21,4,8,4,56,2,9
