OPPONENT_ABBREV,Primary_Pos,DVP_PTS,DVP_REB,DVP_AST,DVP_FG3M,DVP_PRA,DVP_PR,DVP_PA,DVP_RA,DVP_STL,DVP_BLK,DVP_TOV
MIN,SG,13.46,3.92,3.37,1.81,20.75,11.41,11.48,4.46,1.02,0.17,1.91
NOP,C,18.12,11.05,4.19,1.35,33.36,18.65,13.97,9.22,1.05,2.11,2.21
NOP,PF,13.02,7.91,2.27,1.96,23.2,13.03,9.97,6.06,0.97,0.96,2.41
NOP,PG,20.05,3.49,7.6,3.1,31.13,17.21,20.11,8.25,1.36,0.27,3.19
NOP,SF,15.47,6.22,4.38,2.23,26.08,13.7,12.27,5.97,1.08,1.66,1.73
NOP,SG,18.23,4.3,3.81,3.18,26.34,15.88,15.79,5.4,1.31,0.39,1.6
NYK,C,16.3,10.86,3.03,1.12,30.19,17.57,12.07,9.0,1.02,1.91,2.18
NYK,PF,14.37,7.51,2.42,1.97,24.31,14.12,11.81,5.62,0.89,0.86,1.56
NYK,PG,13.94,3.57,7.6,1.79,25.12,13.27,15.23,7.57,1.15,0.24,2.47
NYK,SF,17.3,5.82,2.84,2.49,25.95,14.66,13.46,5.09,0.91,0.92,1.92
NYK,SG,19.57,4.82,3.33,3.53,27.72,14.67,14.12,5.36,1.13,0.2,1.63
OKC,C,12.51,8.33,2.35,1.22,23.2,13.38,9.51,6.89,1.12,1.26,2.5
OKC,PF,15.49,7.01,3.52,1.98,26.02,16.47,14.16,7.21,1.06,0.57,2.31
OKC,PG,14.87,3.85,5.66,1.89,24.38,11.93,13.0,6.1,1.52,0.27,3.02
OKC,SF,13.79,6.52,2.96,2.01,23.27,15.32,13.03,6.74,0.84,0.19,2.47
OKC,SG,14.51,4.9,3.2,2.37,22.62,12.02,10.83,4.52,1.3,0.42,1.9
ORL,C,14.11,9.3,2.13,1.05,25.54,14.33,9.92,7.03,0.76,1.67,1.88
ORL,PF,12.08,6.84,2.16,1.66,21.09,11.91,9.38,5.41,0.94,0.96,2.08
ORL,PG,20.34,4.41,5.84,2.22,30.6,19.14,20.69,8.31,1.39,0.29,2.13
ORL,SF,18.01,6.19,2.7,1.64,26.9,18.88,16.64,6.79,1.25,0.44,1.78
ORL,SG,14.99,3.29,3.73,2.06,22.01,11.94,11.77,4.33,1.19,0.4,1.82
PHI,C,15.9,9.74,2.03,0.85,27.67,17.45,12.09,7.79,1.26,1.44,3.12
PHI,PF,12.52,7.45,3.95,1.37,23.93,14.0,11.08,6.69,0.94,0.74,1.55
PHI,PG,16.94,5.46,7.37,1.9,29.77,16.6,18.03,9.7,1.37,0.37,2.5
PHI,SF,17.17,4.48,3.05,1.58,24.7,16.18,15.12,5.97,0.98,0.34,1.86
PHI,SG,16.39,3.5,3.72,2.59,23.6,15.64,15.94,5.64,1.18,0.78,1.36
PHX,C,13.53,10.49,3.06,0.61,27.08,14.85,10.87,8.08,1.03,1.44,2.89
PHX,PF,14.28,5.92,2.52,1.34,22.72,14.83,12.53,5.97,1.3,0.7,1.56
PHX,PG,18.06,4.68,6.76,2.63,29.5,15.42,17.0,7.45,2.21,0.24,2.47
PHX,SF,16.2,5.42,3.03,2.02,24.65,14.32,12.82,5.79,1.39,0.21,2.26
PHX,SG,16.78,4.32,2.75,2.09,23.86,13.14,12.84,4.4,1.46,0.36,2.3
POR,C,15.45,9.37,2.73,1.11,27.55,15.08,11.2,7.38,1.01,2.83,1.79
POR,PF,16.25,8.0,3.68,1.95,27.93,16.79,14.05,7.32,1.6,0.91,2.53
POR,PG,20.71,4.22,5.7,2.84,30.63,17.48,18.52,6.97,1.83,0.71,2.59
POR,SF,13.9,6.72,2.78,1.54,23.4,15.07,12.77,6.43,1.35,0.66,1.24
POR,SG,15.39,4.21,4.22,2.01,23.82,13.66,13.64,5.26,1.98,0.35,2.49
SAC,C,19.28,11.47,3.14,1.02,33.89,19.44,14.31,9.74,1.16,2.01,1.74
SAC,PF,18.06,6.77,3.18,1.69,28.01,18.62,16.0,7.09,1.2,0.67,1.87
SAC,PG,16.07,4.02,6.77,1.76,26.86,15.0,16.9,7.41,1.9,0.36,2.52
SAC,SF,15.39,7.29,2.81,2.07,25.48,13.74,11.33,5.52,0.98,0.55,2.01
SAC,SG,15.84,5.29,4.78,2.21,25.91,15.61,15.62,6.84,1.33,0.44,1.71
SAS,C,13.05,9.36,3.28,0.88,25.68,14.25,10.59,7.59,0.94,1.2,1.98
SAS,PF,12.44,6.19,2.94,1.41,21.57,12.54,10.43,5.75,1.04,1.17,2.43
SAS,PG,19.92,3.82,5.92,3.56,29.66,18.67,19.81,7.24,1.45,0.2,1.72
SAS,SF,15.0,5.23,3.34,2.14,23.56,18.3,16.7,7.27,1.0,0.1,2.25
SAS,SG,15.21,4.47,3.76,1.93,23.43,12.19,12.09,5.21,1.21,0.51,2.16
TOR,C,15.7,10.98,3.6,0.74,30.29,15.5,11.29,7.79,0.85,1.77,2.53
TOR,PF,15.59,7.19,2.8,1.53,25.58,16.86,13.81,7.23,1.11,0.78,2.3
TOR,PG,19.18,4.44,5.36,2.37,28.98,14.79,15.57,6.79,1.87,0.63,2.24
TOR,SF,15.22,5.31,3.53,1.62,24.05,15.13,13.58,5.94,1.06,0.91,2.11
TOR,SG,14.37,4.52,3.45,2.0,22.34,12.05,11.77,5.02,1.48,0.26,2.2
UTA,C,16.22,9.52,2.65,1.46,28.4,16.06,11.25,7.69,0.8,1.57,1.44
UTA,PF,16.32,5.39,3.94,1.73,25.65,14.09,13.0,5.85,1.36,0.83,1.89
UTA,PG,19.79,4.8,6.71,2.71,31.29,17.37,18.73,7.77,1.23,0.36,2.52
UTA,SF,16.29,5.7,4.34,1.85,26.32,16.7,15.65,8.0,1.15,0.33,1.99
UTA,SG,17.94,4.33,4.19,3.29,26.46,15.79,15.66,5.83,1.93,0.58,2.55
WAS,C,19.97,13.24,3.24,1.35,36.45,17.79,12.79,8.63,1.4,1.9,1.57
WAS,PF,21.97,9.25,2.63,2.5,33.85,19.0,15.03,7.83,1.64,0.98,1.35
WAS,PG,19.0,4.76,7.53,2.68,31.3,14.63,16.06,7.26,1.89,0.74,1.49
WAS,SF,18.39,6.72,4.12,2.05,29.24,17.17,15.59,7.03,1.31,0.48,1.6
WAS,SG,16.18,4.37,3.87,2.4,24.43,12.62,12.0,5.16,1.57,0.53,1.35
