TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
1610612760,Oklahoma City Thunder,25,21,4,0.84,1156.0,1006,2128,0.473,307,883,0.348,478,581,0.823,246,808,1054,599,361.0,280,124,104,546,551,2797,303.0,15,9,1,1,15,14,14,8,11,17,20,18,22,3,28,14,15,17,22,13,17,16,29,16,14,3
1610612753,Orlando Magic,21,9,12,0.429,973.0,778,1720,0.452,229,685,0.334,483,600,0.805,238,680,918,476,347.0,187,116,104,475,479,2268,7.0,25,33,20,29,27,39,37,21,40,37,30,17,18,7,29,24,25,38,18,29,20,16,13,28,36,24
1610612755,Philadelphia 76ers,23,13,10,0.565,1049.998333,858,1918,0.447,274,771,0.355,459,592,0.775,274,689,963,510,357.0,181,144,121,490,536,2449,5.0,18,19,15,19,19,24,20,25,24,27,13,20,20,23,22,21,22,32,20,34,10,26,18,18,21,25
1611661317,Phoenix Mercury,44,27,17,0.614,1760.0,1308,3018,0.433,414,1217,0.34,613,782,0.784,382,1143,1525,921,594.0,344,164,169,782,722,3643,118.0,1,4,32,11,10,7,4,37,5,3,25,9,10,20,6,4,5,5,35,4,8,36,38,12,7,13
1610612756,Phoenix Suns,21,12,9,0.571,973.0,850,1814,0.469,300,798,0.376,359,456,0.787,275,618,893,528,365.0,228,92,102,502,432,2359,83.0,25,23,9,17,27,28,27,14,16,22,4,39,38,17,21,37,31,27,23,16,37,12,22,39,27,16
1610612757,Portland Trail Blazers,21,10,11,0.476,973.0,843,1895,0.445,286,863,0.331,440,547,0.804,292,617,909,527,357.0,189,107,129,495,503,2412,2.0,25,28,18,27,27,29,21,28,23,19,33,23,27,8,16,38,27,29,20,28,27,29,20,22,24,26
1610612758,Sacramento Kings,22,8,14,0.364,1008.0,854,1828,0.467,243,679,0.358,382,516,0.74,199,655,854,547,330.0,185,81,98,463,460,2333,-164.0,22,36,24,32,24,25,26,15,35,38,10,36,34,39,40,28,37,24,11,31,41,11,10,33,29,35
1610612759,San Antonio Spurs,23,16,7,0.696,1047.0,890,1866,0.477,295,810,0.364,419,531,0.789,234,746,980,552,382.0,186,115,104,515,482,2494,131.0,18,11,5,6,20,17,23,6,18,20,9,27,31,16,30,17,19,23,26,30,21,16,25,27,20,9
1611661328,Seattle Storm,44,23,21,0.523,1770.0,1370,3044,0.45,332,971,0.342,542,703,0.771,303,1058,1361,938,539.0,373,223,186,751,731,3614,90.0,1,7,37,23,2,3,2,23,10,10,24,12,13,24,13,12,13,4,31,1,1,40,36,11,8,15
1610612761,Toronto Raptors,21,15,6,0.714,967.983333,870,1777,0.49,243,679,0.358,430,569,0.756,218,635,853,588,317.0,213,94,118,510,467,2413,157.0,25,14,3,4,34,21,33,2,35,38,10,25,25,34,37,32,38,19,8,17,36,25,24,32,23,6
1610612762,Utah Jazz,23,9,14,0.391,1057.0,871,1975,0.441,306,914,0.335,494,619,0.798,292,712,1004,596,403.0,190,87,134,538,566,2542,-120.0,18,33,24,31,18,20,18,30,13,13,29,16,16,12,16,20,18,18,29,25,38,31,27,14,18,34
1611661322,Washington Mystics,44,16,28,0.364,1765.0,1230,2801,0.439,248,754,0.329,686,910,0.754,338,1115,1453,846,672.0,286,140,173,800,863,3394,-195.0,1,11,40,32,3,11,13,32,31,29,36,3,1,37,11,8,11,11,42,12,11,37,40,1,11,37
1610612764,Washington Wizards,20,3,17,0.15,929.983333,770,1710,0.45,244,698,0.35,317,428,0.741,195,626,821,460,335.0,153,107,113,454,378,2101,-288.0,36,42,32,42,38,40,38,22,34,36,18,42,42,38,41,36,40,40,14,39,27,23,8,43,41,41
