Player Name,Prop Category,Prop Line,GAME_DATE,Matchup,Team,Opponent,Best Pick,Tier,Score,Edge,Win_Prob,Median_Proj,TEAM_MISSING_USG
Russell Westbrook,FG3M,1.5,2025-11-20,SAC @ MEM,SAC,MEM,Over,A Tier,0.28,0.28,0.8591582,1.7753409266333389,22.7
Kristaps Porziņģis,RA,8.5,2025-11-20,ATL @ SAS,ATL,SAS,Over,A Tier,1.06,1.06,0.8585118,9.56333569037321,0.0
Keldon Johnson,AST,2.5,2025-11-20,SAS vs ATL,SAS,ATL,Under,A Tier,0.56,-0.56,0.84947336,1.9352760312152502,55.9
Paul George,FG3M,1.5,2025-11-20,PHI @ MIL,PHI,MIL,Under,A Tier,0.34,-0.34,0.8262205,1.158018610384381,26.5
Bogdan Bogdanović,FG3M,1.5,2025-11-20,LAC @ ORL,LAC,ORL,Under,A Tier,0.41,-0.41,0.8185694,1.0929453597125312,15.5
Zaccharie Risacher,FG3M,1.5,2025-11-20,ATL @ SAS,ATL,SAS,Under,A Tier,0.14,-0.14,0.8111363,1.355161145474762,0.0
Luke Kornet,AST,2.5,2025-11-20,SAS vs ATL,SAS,ATL,Under,A Tier,0.5,-0.5,0.8111236,1.995801041421837,55.9
Jalen Suggs,FG3M,2.5,2025-11-20,ORL vs LAC,ORL,LAC,Under,A Tier,1.34,-1.34,0.7940167,1.157920940605632,27.8
Wendell Carter Jr.,FG3M,1.5,2025-11-20,ORL vs LAC,ORL,LAC,Under,A Tier,0.77,-0.77,0.79145575,0.7299188129667781,27.8
Anthony Black,AST,2.5,2025-11-20,ORL vs LAC,ORL,LAC,Under,A Tier,0.25,-0.25,0.7895522,2.2522901324948705,27.8
Quentin Grimes,RA,7.5,2025-11-20,PHI @ MIL,PHI,MIL,Over,A Tier,0.93,0.93,0.78555167,8.428747915626603,26.5
Tyrese Maxey,FG3M,3.5,2025-11-20,PHI @ MIL,PHI,MIL,Under,A Tier,1.26,-1.26,0.7831881,2.2393795368591105,26.5
Harrison Barnes,AST,2.5,2025-11-20,SAS vs ATL,SAS,ATL,Under,A Tier,0.7,-0.7,0.78257555,1.7951840948399407,55.9
Malik Monk,FG3M,1.5,2025-11-20,SAC @ MEM,SAC,MEM,Over,A Tier,0.2,0.2,0.7790017,1.7021162103657848,22.7
Vince Williams Jr.,REB,5.5,2025-11-20,MEM vs SAC,MEM,SAC,Under,A Tier,0.95,-0.95,0.77799433,4.546223437296932,57.2
Franz Wagner,AST,4.5,2025-11-20,ORL vs LAC,ORL,LAC,Under,A Tier,0.47,-0.47,0.76541424,4.030549519768422,27.8
Devin Vassell,REB,3.5,2025-11-20,SAS vs ATL,SAS,ATL,Under,A Tier,0.7,-0.7,0.7620563,2.7975243822043083,55.9
Domantas Sabonis,AST,4.5,2025-11-20,SAC @ MEM,SAC,MEM,Under,A Tier,0.4,-0.4,0.7616161,4.103609755557895,22.7
Harrison Barnes,PTS,13.5,2025-11-20,SAS vs ATL,SAS,ATL,Under,A Tier,1.22,-1.22,0.7588023,12.28224089393323,55.9
James Harden,REB,5.5,2025-11-20,LAC @ ORL,LAC,ORL,Over,A Tier,1.0,1.0,0.7538168,6.495589238249547,15.5
DeMar DeRozan,REB,3.5,2025-11-20,SAC @ MEM,SAC,MEM,Under,A Tier,0.48,-0.48,0.7411046,3.024805307806783,22.7
Anthony Black,FG3M,1.5,2025-11-20,ORL vs LAC,ORL,LAC,Under,A Tier,0.72,-0.72,0.70472205,0.779595954614464,27.8
Desmond Bane,RA,8.5,2025-11-20,ORL vs LAC,ORL,LAC,Over,A Tier,1.43,1.43,0.68626857,9.926414083196176,27.8
Bogdan Bogdanović,PTS,11.5,2025-11-20,LAC @ ORL,LAC,ORL,Under,A Tier,1.48,-1.48,0.6728172,10.018934686709205,15.5
Julian Champagnie,FG3M,2.5,2025-11-20,SAS vs ATL,SAS,ATL,Under,A Tier,0.53,-0.53,0.66630775,1.9709238970344265,55.9
Joel Embiid,FG3M,1.5,2025-11-20,PHI @ MIL,PHI,MIL,Under,A Tier,0.58,-0.58,0.6625109,0.9166530772455741,0.0
Tyrese Maxey,REB,3.5,2025-11-20,PHI @ MIL,PHI,MIL,Over,A Tier,1.41,1.41,0.66172457,4.914454446543898,26.5
De'Aaron Fox,FG3M,2.5,2025-11-20,SAS vs ATL,SAS,ATL,Under,A Tier,0.51,-0.51,0.6487541,1.9890914820970056,55.9
Nickeil Alexander-Walker,FG3M,2.5,2025-11-20,ATL @ SAS,ATL,SAS,Under,A Tier,0.7,-0.7,0.63714486,1.801156848100009,0.0
Julian Champagnie,REB,4.5,2025-11-20,SAS vs ATL,SAS,ATL,Under,A Tier,0.81,-0.81,0.63382125,3.6939676446740743,55.9
AJ Green,AST,2.5,2025-11-20,MIL vs PHI,MIL,PHI,Under,A Tier,0.37,-0.37,0.6290295,2.1341232931335603,37.0
Quentin Grimes,AST,3.5,2025-11-20,PHI @ MIL,PHI,MIL,Over,A Tier,0.62,0.62,0.62509376,4.123867551965852,26.5
Myles Turner,RA,9.5,2025-11-20,MIL vs PHI,MIL,PHI,Under,A Tier,1.28,-1.28,0.60665226,8.21847017668519,37.0
Santi Aldama,FG3M,2.5,2025-11-20,MEM vs SAC,MEM,SAC,Under,A Tier,1.02,-1.02,0.6048448,1.4791675651382163,57.2
Kristaps Porziņģis,AST,2.5,2025-11-20,ATL @ SAS,ATL,SAS,Over,A Tier,1.42,1.42,0.5897836,3.922478791220566,0.0
Gary Trent Jr.,REB,2.5,2025-11-20,MIL vs PHI,MIL,PHI,Under,A Tier,0.64,-0.64,0.58863467,1.8639306020754112,37.0
VJ Edgecombe,FG3M,1.5,2025-11-20,PHI @ MIL,PHI,MIL,Under,A Tier,0.34,-0.34,0.58779675,1.1613881121144587,0.0
