Player Name,Prop Category,Prop Line,GAME_DATE,Matchup,Team,Opponent,Best Pick,Tier,Score,Edge,Win_Prob,Median_Proj,TEAM_MISSING_USG,join_player,join_date,SEASON_ID,PLAYER_ID,Game_ID,GAME_DATE_box,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,PLAYER_NAME,TEAM_ABBREVIATION,Player_Clean,PRA,PR,PA,RA,STK,FANTASY_PTS,TS_PCT,USG_PROXY,TEAM_MISSING_USG_box,TEAM_MISSING_MIN,Actual Value,Result (O/U/P),Correctness
John Collins,PTS,13.5,2025-11-20,LAC @ ORL,LAC,ORL,Under,S Tier,2.72,-2.72,0.7406739,10.77928919436602,15.5,john collins,2025-11-20,22025.0,1628381.0,22500264.0,2025-11-20,LAC @ ORL,L,25.0,4.0,8.0,0.5,0.0,1.0,0.0,1.0,2.0,0.5,0.0,4.0,4.0,0.0,1.0,1.0,1.0,2.0,9.0,-18.0,1.0,John Collins,LAC,john collins,13.0,13.0,9.0,4.0,2.0,18.8,0.5067567567567567,0.3952,15.5,21.3,9.0,Under,Correct
Ryan Rollins,PRA,32.5,2025-11-20,MIL vs PHI,MIL,PHI,Under,S Tier,4.96,-4.96,0.73730147,27.542231986085273,37.0,ryan rollins,2025-11-20,22025.0,1631157.0,22500266.0,2025-11-20,MIL vs. PHI,L,40.0,13.0,26.0,0.5,2.0,8.0,0.25,4.0,4.0,1.0,1.0,5.0,6.0,14.0,1.0,0.0,3.0,3.0,32.0,-15.0,1.0,Ryan Rollins,MIL,ryan rollins,52.0,38.0,46.0,20.0,1.0,60.2,0.5763688760806917,0.769,37.0,23.9,52.0,Over,Incorrect
Malik Monk,PTS,12.5,2025-11-20,SAC @ MEM,SAC,MEM,Under,S Tier,1.85,-1.85,0.73613787,10.652033119408292,22.7,malik monk,2025-11-20,22025.0,1628370.0,22500265.0,2025-11-20,SAC @ MEM,L,14.0,1.0,4.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,2.0,2.0,-13.0,1.0,Malik Monk,SAC,malik monk,6.0,4.0,4.0,4.0,1.0,9.4,0.25,0.3571428571428571,22.7,25.9,2.0,Under,Correct
Dominick Barlow,PTS,5.5,2025-11-20,PHI @ MIL,PHI,MIL,Over,S Tier,3.79,3.79,0.7183444,9.292660353431971,26.5,dominick barlow,2025-11-20,22025.0,1631230.0,22500266.0,2025-11-20,PHI @ MIL,W,29.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0,3.0,0.0,2.0,0.0,0.0,2.0,16.0,1.0,Dominick Barlow,PHI,dominick barlow,11.0,8.0,5.0,9.0,2.0,19.7,1.0,0.0344827586206896,26.5,42.2,2.0,Under,Incorrect
Keldon Johnson,PRA,23.5,2025-11-20,SAS vs ATL,SAS,ATL,Under,S Tier,3.14,-3.14,0.7134311,20.359327951725017,55.9,keldon johnson,2025-11-20,22025.0,1629640.0,22500267.0,2025-11-20,SAS vs. ATL,W,32.0,9.0,12.0,0.75,3.0,5.0,0.6,4.0,5.0,0.8,2.0,5.0,7.0,2.0,1.0,0.0,2.0,2.0,25.0,8.0,1.0,Keldon Johnson,SAS,keldon johnson,34.0,32.0,27.0,9.0,1.0,37.4,0.8802816901408451,0.50625,55.9,55.9,34.0,Over,Incorrect
Devin Vassell,PRA,24.5,2025-11-20,SAS vs ATL,SAS,ATL,Under,S Tier,5.3,-5.3,0.70243776,19.204928746472035,55.9,devin vassell,2025-11-20,22025.0,1630170.0,22500267.0,2025-11-20,SAS vs. ATL,W,33.0,6.0,11.0,0.545,3.0,5.0,0.6,0.0,0.0,0.0,1.0,4.0,5.0,3.0,1.0,1.0,1.0,2.0,15.0,13.0,1.0,Devin Vassell,SAS,devin vassell,23.0,20.0,18.0,8.0,2.0,30.5,0.6818181818181818,0.3636363636363636,55.9,55.9,23.0,Under,Correct
Ryan Rollins,PTS,21.5,2025-11-20,MIL vs PHI,MIL,PHI,Under,S Tier,3.48,-3.48,0.69573724,18.016459512922665,37.0,ryan rollins,2025-11-20,22025.0,1631157.0,22500266.0,2025-11-20,MIL vs. PHI,L,40.0,13.0,26.0,0.5,2.0,8.0,0.25,4.0,4.0,1.0,1.0,5.0,6.0,14.0,1.0,0.0,3.0,3.0,32.0,-15.0,1.0,Ryan Rollins,MIL,ryan rollins,52.0,38.0,46.0,20.0,1.0,60.2,0.5763688760806917,0.769,37.0,23.9,32.0,Over,Incorrect
Gary Trent Jr.,PTS,12.5,2025-11-20,MIL vs PHI,MIL,PHI,Under,S Tier,3.22,-3.22,0.68386966,9.275079981050542,37.0,gary trent,2025-11-20,22025.0,1629018.0,22500266.0,2025-11-20,MIL vs. PHI,L,38.0,4.0,10.0,0.4,3.0,7.0,0.429,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,11.0,5.0,1.0,Gary Trent Jr.,MIL,gary trent jr.,13.0,11.0,13.0,2.0,1.0,15.0,0.55,0.3157894736842105,37.0,23.9,11.0,Under,Correct
James Harden,PRA,40.5,2025-11-20,LAC @ ORL,LAC,ORL,Over,S Tier,3.5,3.5,0.6836039,43.99731222804283,15.5,james harden,2025-11-20,22025.0,201935.0,22500264.0,2025-11-20,LAC @ ORL,L,31.0,8.0,16.0,0.5,5.0,11.0,0.455,10.0,12.0,0.833,1.0,4.0,5.0,8.0,2.0,0.0,5.0,1.0,31.0,-20.0,1.0,James Harden,LAC,james harden,44.0,36.0,39.0,13.0,2.0,50.0,0.7283834586466165,0.847741935483871,15.5,21.3,44.0,Over,Correct
Anthony Black,PRA,18.5,2025-11-20,ORL vs LAC,ORL,LAC,Under,S Tier,1.53,-1.53,0.67245686,16.971454044999476,27.8,anthony black,2025-11-20,22025.0,1641710.0,22500264.0,2025-11-20,ORL vs. LAC,W,29.0,4.0,9.0,0.444,1.0,3.0,0.333,3.0,4.0,0.75,1.0,3.0,4.0,4.0,4.0,0.0,2.0,3.0,12.0,16.0,1.0,Anthony Black,ORL,anthony black,20.0,16.0,16.0,8.0,4.0,32.8,0.5576208178438662,0.44,27.8,25.1,20.0,Over,Incorrect
