Rk,Player,Age,Team,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
81,Jalen Brunson,29,NYK,PG,14,14,478,100,0,0,0,0,8.7,8.3,20,9,19,3,43,13,226,13,10
82,Jarace Walker,22,IND,PF,17,9,477,0,7,78,15,0,-9.9,3.4,16,15,22,0,22,0,107,4,4
83,Cedric Coward,22,MEM,SG,18,5,476,0,55,43,3,0,0.3,11.4,8,11,16,2,26,4,114,3,10
84,Kyshawn George,22,WAS,SF,15,15,474,0,1,42,54,3,-15.2,-3.8,22,23,32,5,18,5,175,5,12
85,John Collins,28,LAC,PF,18,9,469,0,0,0,97,3,-5.4,2.6,7,11,22,5,20,1,25,10,11
86,Kris Dunn,31,LAC,PG,18,12,466,83,17,0,0,0,-8.4,-3.8,14,5,24,1,10,0,112,2,7
87,Matas Buzelis,21,CHI,PF,17,17,465,0,0,0,93,7,-1.8,2.7,10,20,35,1,21,1,55,5,11
88,Jaylen Wells,22,MEM,SG,18,18,464,0,4,80,17,0,-3.5,2.5,5,4,20,0,14,10,79,4,12
89,Stephen Curry,37,GSW,PG,15,15,464,100,0,0,0,0,2.0,2.6,19,17,18,3,33,3,146,9,5
90,Jaren Jackson Jr.,26,MEM,C,16,16,463,0,0,0,42,58,-10.9,-13.1,8,7,27,18,30,5,65,9,14
91,Jabari Smith Jr.,22,HOU,PF,14,14,463,0,0,26,72,2,14.0,8.1,4,4,27,4,15,2,65,6,9
92,Noah Clowney,21,BRK,PF,17,11,462,0,0,0,91,9,-6.6,10.5,10,8,15,5,25,2,66,2,11
93,Collin Gillespie,26,PHO,PG,18,0,459,100,0,0,0,0,8.2,7.8,15,10,16,1,12,8,217,5,6
94,Draymond Green,35,GSW,PF,16,16,459,0,0,22,58,21,9.3,16.9,34,4,26,13,7,4,229,1,9
95,Jake LaRavia,24,LAL,PF,17,6,458,0,10,67,23,1,2.1,-3.7,13,3,19,0,20,1,84,5,6
96,Donovan Clingan,21,POR,C,18,18,457,0,0,0,0,100,0.4,5.1,7,2,34,4,18,0,75,6,7
97,Saddiq Bey,26,NOP,SF,17,9,457,0,0,19,81,1,-13.8,-4.5,6,1,11,3,19,2,89,1,11
98,Tristan Da Silva,24,ORL,SF,19,7,453,0,11,81,8,0,12.5,13.2,8,3,10,1,9,0,62,0,6
99,Sion James,23,CHO,SG,17,11,451,1,67,33,0,0,-1.4,6.8,6,4,11,2,9,5,70,2,7
100,Terance Mann,29,BRK,SG,17,17,451,14,64,22,0,0,-11.5,-0.8,7,7,25,0,14,8,152,3,10
101,Kel'el Ware,21,MIA,C,18,14,449,0,0,0,0,100,2.2,-7.2,7,5,24,5,20,1,28,9,10
102,Svi Mykhailiuk,28,UTA,SF,17,17,448,1,79,20,0,0,-3.5,8.8,7,5,14,1,5,2,91,4,1
103,Cameron Johnson,29,DEN,SF,16,16,445,0,0,62,38,0,9.1,-2.5,9,5,23,1,11,4,80,4,9
104,Kyle Kuzma,30,MIL,PF,17,8,443,0,0,51,49,0,-0.5,3.7,7,11,30,0,32,2,77,9,11
105,Julian Champagnie,24,SAS,SF,16,11,442,0,8,67,24,0,7.7,4.8,11,4,10,0,14,0,54,2,5
106,Alex Sarr,20,WAS,C,15,15,442,0,0,0,1,99,-8.3,11.1,13,14,23,4,23,1,133,5,18
107,Moses Moody,23,GSW,SG,17,9,438,0,25,62,14,0,3.6,5.5,15,4,19,3,16,2,68,3,7
108,Deandre Ayton,27,LAL,C,15,15,438,0,0,0,0,100,0.7,-6.5,9,13,29,6,8,0,30,3,8
109,Ben Sheppard,24,IND,SG,17,8,435,25,65,10,0,0,-16.4,-10.6,6,3,24,0,7,2,78,1,8
110,Peyton Watson,23,DEN,SF,17,7,435,0,21,44,35,0,10.7,0.9,11,5,20,6,14,2,66,4,11
111,Jalen Duren,22,DET,C,15,15,434,0,0,0,0,100,11.8,10.6,7,12,28,9,51,0,70,11,12
112,De'Andre Hunter,28,CLE,SF,15,15,434,0,10,67,23,0,5.3,1.8,12,13,14,1,27,5,106,10,11
113,Derik Queen,21,NOP,C,18,6,428,0,0,0,9,91,-6.4,10.4,20,14,32,8,33,4,135,6,11
114,Bub Carrington,20,WAS,PG,17,5,428,100,0,0,0,0,-21.6,-16.8,29,7,22,1,5,3,165,1,7
115,Norman Powell,32,MIA,SG,14,14,427,1,99,0,0,0,8.7,6.2,7,13,10,3,37,1,75,8,14
116,Collin Sexton,27,CHO,SG,16,10,426,49,49,2,0,0,-4.8,-0.7,22,14,11,3,31,6,180,7,16
117,Anfernee Simons,26,BOS,SG,17,0,424,52,48,0,0,0,-1.1,-12.2,11,10,22,2,16,0,111,6,9
118,Pelle Larsson,24,MIA,SG,18,15,420,0,34,66,0,0,2.6,-5.8,18,2,22,0,25,13,153,5,8
119,Jusuf Nurkić,31,UTA,C,17,12,420,0,0,0,0,100,-7.6,0.1,23,10,19,14,14,3,139,2,11
120,Anthony Edwards,24,MIN,SG,13,13,420,2,61,37,0,0,5.8,-0.8,16,9,8,3,40,0,112,10,8
121,Kelly Oubre Jr.,30,PHI,SF,12,12,418,0,0,60,41,0,0.5,3.6,6,6,12,3,19,9,38,6,9
122,Grayson Allen,30,PHO,SG,13,13,417,54,39,8,0,0,5.7,2.5,9,7,15,4,16,4,138,4,11
123,Naz Reid,26,MIN,C,17,0,416,0,0,0,48,52,1.7,-9.2,11,8,25,5,12,5,80,3,14
124,Stephon Castle,21,SAS,PG,13,13,416,74,26,0,0,0,6.1,1.0,29,16,17,4,42,9,238,8,9
125,Victor Wembanyama,22,SAS,C,12,12,416,0,0,0,0,100,8.8,6.7,10,20,17,12,30,4,120,5,3
126,Giannis Antetokounmpo,31,MIL,PF,13,13,414,0,0,0,71,29,8.0,19.9,14,16,11,10,62,0,245,14,12
127,Chet Holmgren,23,OKC,PF,14,14,412,0,0,7,67,26,21.2,8.6,12,10,24,7,26,2,57,3,10
128,Kentavious Caldwell-Pope,32,MEM,SG,18,13,411,1,86,13,0,0,-9.4,-8.9,10,9,14,0,12,7,136,0,6
129,Jock Landale,30,MEM,C,18,13,410,0,0,0,0,100,-11.1,-12.0,8,4,29,5,14,2,70,2,12
130,Tim Hardaway Jr.,33,DEN,SG,17,1,404,12,51,36,1,0,13.6,6.6,1,1,10,1,10,1,58,4,3
131,Kris Murray,25,POR,SF,17,1,404,4,53,35,9,0,-8.9,-12.6,7,2,20,3,7,1,39,0,7
132,Josh Hart,30,NYK,SF,15,1,403,0,16,76,8,0,0.9,-9.8,11,10,16,5,13,5,175,6,6
133,Neemias Queta,26,BOS,C,17,17,402,0,0,0,0,100,14.4,18.7,2,3,39,7,12,0,71,5,5
134,Jrue Holiday,35,POR,PG,12,12,401,100,0,0,0,0,1.1,5.9,23,9,9,1,8,2,232,1,6
135,Tre Jones,26,CHI,PG,14,11,400,100,0,0,0,0,-7.9,-9.7,12,7,6,1,21,9,181,0,13
136,Shaedon Sharpe,22,POR,SG,14,14,400,25,68,6,1,0,1.1,5.9,13,21,10,4,41,2,74,16,14
137,Ayo Dosunmu,26,CHI,SG,15,3,397,8,67,24,2,0,-0.1,5.4,6,11,13,2,23,0,116,6,11
138,Bruce Brown,29,DEN,SG,17,0,396,40,59,1,0,0,5.8,-8.5,8,4,23,0,11,0,67,1,11
139,Kevin Huerter,27,CHI,SF,16,5,395,0,12,76,12,0,-5.5,-4.9,16,6,22,0,15,0,94,5,8
140,Moussa Diabaté,24,CHO,C,17,1,394,0,0,0,5,95,-7.4,-5.7,4,0,16,3,31,3,49,7,8
141,Paolo Banchero,23,ORL,PF,12,12,393,0,0,0,98,2,3.3,-4.3,8,16,16,3,56,1,123,14,16
142,Bobby Portis,30,MIL,PF,18,2,392,0,0,0,71,29,-6.9,-8.3,10,3,20,5,4,0,54,0,7
143,Zaccharie Risacher,20,ATL,SF,16,16,391,0,5,93,2,0,9.2,13.1,4,3,19,3,11,0,63,4,6
144,Klay Thompson,35,DAL,SF,18,8,389,0,22,55,23,0,-7.8,-2.8,9,7,8,1,0,1,61,0,3
145,Keldon Johnson,26,SAS,SF,16,0,389,0,31,59,11,0,1.7,-7.9,7,5,12,2,11,2,67,3,15
146,Andre Drummond,32,PHI,C,16,8,387,0,0,0,0,100,0.7,3.6,7,1,24,3,8,0,26,2,5
147,Ron Holland,20,DET,SF,17,5,386,0,0,30,70,0,4.2,-4.9,8,14,20,2,12,8,79,3,10
