Rk,Player,Age,Team,Pos,G,GS,MP,FG%,2P%,3P%,eFG%,FT%,TS%,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add
145.0,Anthony Davis,31.0,DAL,PF,9.0,9.0,266.0,0.461,0.516,0.233,0.484,0.688,0.52,0.316,0.197,99.0,95.0,65.0,89.0,88.0,90.0,130.0,47.0,-18.1,-19.5
146.0,Bradley Beal,31.0,PHO,SG,53.0,38.0,1702.0,0.497,0.565,0.386,0.571,0.803,0.598,0.197,0.38,106.0,104.0,107.0,105.0,103.0,104.0,81.0,90.0,38.2,32.8
147.0,Georges Niang,31.0,2TM,PF,79.0,3.0,1697.0,0.461,0.569,0.406,0.595,0.793,0.607,0.094,0.66,99.0,104.0,113.0,110.0,102.0,105.0,39.0,157.0,64.6,40.1
147.0,Georges Niang,31.0,CLE,PF,51.0,1.0,1053.0,0.477,0.618,0.4,0.606,0.793,0.617,0.083,0.647,102.0,113.0,111.0,112.0,102.0,107.0,34.0,154.0,44.0,29.3
147.0,Georges Niang,31.0,ATL,PF,28.0,2.0,644.0,0.441,0.5,0.413,0.581,0.793,0.595,0.107,0.676,94.0,92.0,115.0,107.0,102.0,103.0,44.0,161.0,20.6,10.8
148.0,Jakob Poeltl,29.0,TOR,C,57.0,56.0,1686.0,0.627,0.628,0.333,0.628,0.674,0.641,0.249,0.005,134.0,115.0,93.0,116.0,86.0,111.0,102.0,1.0,98.1,83.8
149.0,Scotty Pippen Jr.,24.0,MEM,PG,79.0,21.0,1683.0,0.48,0.528,0.397,0.553,0.713,0.582,0.288,0.369,103.0,97.0,110.0,102.0,91.0,101.0,119.0,88.0,11.8,7.8
150.0,Kevin Huerter,26.0,2TM,SG,69.0,31.0,1679.0,0.425,0.587,0.338,0.535,0.714,0.544,0.081,0.647,91.0,108.0,94.0,98.0,92.0,94.0,33.0,154.0,-10.0,-39.8
150.0,Kevin Huerter,26.0,SAC,SG,43.0,15.0,899.0,0.413,0.629,0.302,0.513,0.714,0.524,0.09,0.661,88.0,115.0,84.0,94.0,92.0,91.0,37.0,157.0,-18.7,-33.4
150.0,Kevin Huerter,26.0,CHI,SG,26.0,16.0,780.0,0.439,0.546,0.376,0.558,0.714,0.566,0.071,0.633,94.0,100.0,104.0,103.0,92.0,98.0,29.0,150.0,8.7,-6.4
151.0,Santi Aldama,24.0,MEM,PF,65.0,16.0,1660.0,0.483,0.599,0.368,0.576,0.691,0.588,0.145,0.503,103.0,110.0,102.0,106.0,89.0,102.0,60.0,119.0,42.2,16.6
152.0,A.J. Green,25.0,MIL,SG,73.0,7.0,1659.0,0.429,0.443,0.427,0.612,0.815,0.621,0.064,0.856,92.0,81.0,119.0,113.0,104.0,108.0,26.0,203.0,58.5,38.7
153.0,Al Horford,38.0,BOS,C,60.0,42.0,1659.0,0.423,0.551,0.363,0.547,0.895,0.563,0.082,0.681,91.0,101.0,101.0,101.0,115.0,98.0,34.0,162.0,3.3,-12.5
154.0,Terry Rozier,30.0,MIA,PG,64.0,23.0,1658.0,0.391,0.48,0.295,0.462,0.852,0.497,0.17,0.485,84.0,88.0,82.0,85.0,109.0,86.0,70.0,115.0,-102.7,-107.5
155.0,Peyton Watson,22.0,DEN,SF,68.0,18.0,1656.0,0.477,0.534,0.353,0.533,0.693,0.564,0.32,0.318,102.0,98.0,98.0,98.0,89.0,98.0,132.0,75.0,-8.9,-11.7
156.0,Moses Moody,22.0,GSW,SG,74.0,34.0,1649.0,0.433,0.519,0.374,0.544,0.797,0.578,0.234,0.593,93.0,95.0,104.0,100.0,102.0,100.0,96.0,141.0,1.1,2.0
157.0,Tristan Da Silva,23.0,ORL,SF,74.0,38.0,1629.0,0.412,0.488,0.335,0.495,0.873,0.522,0.13,0.495,88.0,89.0,93.0,91.0,112.0,91.0,54.0,117.0,-46.6,-55.5
158.0,Donte DiVincenzo,28.0,MIN,SG,62.0,10.0,1606.0,0.422,0.49,0.397,0.568,0.778,0.582,0.106,0.739,90.0,90.0,110.0,105.0,100.0,101.0,44.0,175.0,29.9,7.7
159.0,Isaiah Joe,25.0,OKC,SG,74.0,16.0,1604.0,0.44,0.549,0.412,0.604,0.821,0.617,0.095,0.793,94.0,101.0,114.0,111.0,105.0,107.0,39.0,188.0,71.4,50.0
160.0,Corey Kispert,25.0,WAS,SF,61.0,0.0,1602.0,0.451,0.574,0.364,0.558,0.852,0.584,0.156,0.584,97.0,105.0,101.0,103.0,109.0,101.0,64.0,139.0,16.3,9.3
161.0,Caris LeVert,30.0,2TM,SG,64.0,3.0,1596.0,0.467,0.552,0.373,0.556,0.71,0.582,0.259,0.474,100.0,101.0,104.0,102.0,91.0,101.0,107.0,113.0,15.4,7.1
161.0,Caris LeVert,30.0,CLE,SF,38.0,3.0,904.0,0.453,0.5,0.405,0.554,0.699,0.58,0.279,0.497,97.0,92.0,113.0,102.0,90.0,101.0,115.0,118.0,6.3,2.5
161.0,Caris LeVert,30.0,ATL,SG,26.0,0.0,692.0,0.482,0.6,0.338,0.558,0.722,0.583,0.239,0.452,103.0,110.0,94.0,103.0,93.0,101.0,98.0,107.0,9.1,4.6
162.0,Miles McBride,24.0,NYK,SG,64.0,10.0,1593.0,0.406,0.455,0.369,0.511,0.813,0.531,0.117,0.57,87.0,84.0,102.0,94.0,104.0,92.0,48.0,135.0,-35.1,-51.8
163.0,Isaiah Hartenstein,26.0,OKC,C,57.0,53.0,1590.0,0.581,0.605,0.0,0.581,0.675,0.599,0.244,0.04,124.0,111.0,0.0,107.0,87.0,104.0,100.0,9.0,36.7,24.5
164.0,Gradey Dick,21.0,TOR,SG,54.0,54.0,1587.0,0.41,0.47,0.35,0.498,0.858,0.543,0.24,0.504,88.0,86.0,97.0,92.0,110.0,94.0,99.0,120.0,-58.7,-47.2
165.0,Paolo Banchero,22.0,ORL,PF,46.0,46.0,1582.0,0.452,0.509,0.32,0.5,0.727,0.551,0.423,0.299,97.0,93.0,89.0,92.0,93.0,96.0,174.0,71.0,-78.5,-54.0
166.0,Patrick Williams,23.0,CHI,PF,63.0,36.0,1576.0,0.397,0.447,0.353,0.49,0.723,0.512,0.161,0.527,85.0,82.0,98.0,90.0,93.0,89.0,66.0,125.0,-54.4,-70.7
167.0,Obi Toppin,26.0,IND,PF,79.0,4.0,1545.0,0.529,0.695,0.365,0.621,0.781,0.642,0.19,0.503,113.0,127.0,101.0,114.0,100.0,111.0,78.0,119.0,93.4,84.9
168.0,Grayson Allen,29.0,PHO,SG,64.0,7.0,1544.0,0.448,0.504,0.426,0.6,0.816,0.631,0.233,0.716,96.0,92.0,118.0,111.0,105.0,109.0,96.0,170.0,55.9,58.7
169.0,Sam Hauser,27.0,BOS,PF,71.0,19.0,1541.0,0.451,0.64,0.416,0.627,1.0,0.632,0.023,0.842,97.0,117.0,115.0,115.0,128.0,110.0,10.0,200.0,79.2,53.2
170.0,Ziaire Williams,23.0,BRK,SF,63.0,45.0,1541.0,0.412,0.509,0.341,0.511,0.821,0.55,0.237,0.581,88.0,93.0,95.0,94.0,105.0,96.0,97.0,138.0,-33.8,-29.6
171.0,Gabe Vincent,28.0,LAL,PG,72.0,11.0,1527.0,0.4,0.532,0.353,0.53,0.714,0.536,0.05,0.736,86.0,98.0,98.0,98.0,92.0,93.0,21.0,175.0,-11.2,-34.6
172.0,Victor Wembanyama,21.0,SAS,C,46.0,46.0,1527.0,0.476,0.586,0.352,0.559,0.836,0.594,0.221,0.47,102.0,107.0,98.0,103.0,107.0,103.0,91.0,112.0,27.2,32.6
173.0,Jerami Grant,30.0,POR,PF,47.0,47.0,1524.0,0.373,0.381,0.365,0.467,0.849,0.523,0.289,0.516,80.0,70.0,101.0,86.0,109.0,91.0,119.0,122.0,-87.4,-68.6
174.0,Jonas Valančiūnas,32.0,2TM,C,81.0,21.0,1524.0,0.55,0.571,0.216,0.557,0.879,0.602,0.263,0.059,118.0,105.0,60.0,102.0,113.0,105.0,108.0,14.0,17.0,36.7
174.0,Jonas Valančiūnas,32.0,WAS,C,49.0,12.0,983.0,0.547,0.567,0.259,0.556,0.896,0.602,0.251,0.064,117.0,104.0,72.0,102.0,115.0,104.0,103.0,15.0,10.7,23.9
174.0,Jonas Valančiūnas,32.0,SAC,C,32.0,9.0,541.0,0.556,0.579,0.1,0.559,0.847,0.604,0.288,0.049,119.0,106.0,28.0,103.0,109.0,105.0,119.0,12.0,6.3,12.8
175.0,Kyle Filipowski,21.0,UTA,C,72.0,27.0,1522.0,0.502,0.614,0.35,0.576,0.65,0.594,0.276,0.425,107.0,113.0,97.0,106.0,83.0,103.0,114.0,101.0,34.4,20.6
176.0,Ja Morant,25.0,MEM,PG,50.0,50.0,1519.0,0.454,0.523,0.309,0.504,0.824,0.563,0.359,0.321,97.0,96.0,86.0,93.0,106.0,98.0,148.0,76.0,-69.6,-27.2
177.0,Matas Buzelis,20.0,CHI,SF,80.0,31.0,1511.0,0.454,0.54,0.361,0.541,0.815,0.571,0.195,0.479,97.0,99.0,100.0,100.0,104.0,99.0,80.0,114.0,-2.8,-6.3
178.0,LaMelo Ball,23.0,CHO,PG,47.0,47.0,1505.0,0.405,0.478,0.339,0.494,0.843,0.536,0.228,0.526,87.0,88.0,94.0,91.0,108.0,93.0,94.0,125.0,-98.4,-87.9
179.0,Dalton Knecht,23.0,LAL,SF,78.0,16.0,1494.0,0.461,0.594,0.376,0.576,0.762,0.594,0.151,0.61,99.0,109.0,105.0,106.0,98.0,103.0,62.0,145.0,37.0,21.5
